Show,Date,FB Likes,Likes Vs.Last Week,FB Talking About,Talking Vs.Last Week,FB Checkins,Checkins vs.Last Week,Twitter Followers,Twitter vs.Last Week,Instagram Followers,IG Followers vs.Last Week,Current,Type,Total Fans Change,Month,Day,Year
Come From Away,2019/3/24,106559,689,4365,-140,46436,343,21814,111,45797,601,Current,Musical,0.008100000000000001,3,24,2019.0
Come From Away,2019/3/17,105870,642,4505,-2629,46093,315,21703,130,45196,452,Current,Musical,0.0070999999999999995,3,17,2019.0
Come From Away,2019/3/10,105228,704,7134,2380,45778,386,21573,121,44744,412,Current,Musical,0.0073,3,10,2019.0
Come From Away,2019/3/3,104524,707,4754,519,45392,394,21452,113,44332,414,Current,Musical,0.0073,3,3,2019.0
Come From Away,2019/2/24,103817,610,4235,1439,44998,439,21339,106,43918,521,Current,Musical,0.0074,2,24,2019.0
Come From Away,2019/2/17,103207,264,2796,-3102,44559,407,21233,102,43397,446,Current,Musical,0.0049,2,17,2019.0
Come From Away,2019/2/10,102943,675,5898,-270,44152,490,21131,91,42951,404,Current,Musical,0.0070999999999999995,2,10,2019.0
Come From Away,2019/2/3,102268,688,6168,3365,43662,366,21040,135,42547,326,Current,Musical,0.006999999999999999,2,3,2019.0
Come From Away,2019/1/27,101580,717,2803,-4520,43296,436,20905,105,42221,397,Current,Musical,0.0075,1,27,2019.0
Come From Away,2019/1/20,100863,855,7323,3716,42860,431,20800,88,41824,298,Current,Musical,0.0076,1,20,2019.0
Come From Away,2019/1/13,100008,817,3607,-2161,42429,417,20712,128,41526,309,Current,Musical,0.0078000000000000005,1,13,2019.0
Come From Away,2019/1/6,99191,483,5768,-1439,42012,299,20584,52,41217,306,Current,Musical,0.0053,1,6,2019.0
Come From Away,2018/12/30,98708,2242,7207,3424,41713,1158,20532,271,40911,1070,Current,Musical,0.0229,12,30,2018.0
Come From Away,2018/12/10,96466,672,3783,-1033,40555,272,20261,68,39841,340,Current,Musical,0.0069,12,10,2018.0
Come From Away,2018/12/3,95794,587,4816,1912,40283,387,20193,60,39501,287,Current,Musical,0.006,12,3,2018.0
Come From Away,2018/11/26,95207,552,2904,-400,39896,352,20133,88,39214,272,Current,Musical,0.0059,11,26,2018.0
Come From Away,2018/11/18,94655,513,3304,-338,39544,318,20045,47,38942,404,Current,Musical,0.0063,11,18,2018.0
Come From Away,2018/11/12,94142,615,3642,614,39226,285,19998,34,38538,397,Current,Musical,0.0069,11,12,2018.0
Come From Away,2018/11/4,93527,694,3028,-145,38941,389,19964,59,38141,497,Current,Musical,0.0083,11,4,2018.0
Come From Away,2018/10/28,92833,620,3173,-326,38552,301,19905,72,37644,478,Current,Musical,0.0078000000000000005,10,28,2018.0
Come From Away,2018/10/21,92213,783,3499,-2746,38251,268,19833,77,37166,436,Current,Musical,0.0088,10,21,2018.0
Come From Away,2018/10/14,91430,766,6245,3308,37983,323,19756,139,36730,448,Current,Musical,0.0092,10,14,2018.0
Come From Away,2018/10/7,90664,683,2937,-578,37660,293,19617,63,36282,334,Current,Musical,0.0074,10,7,2018.0
Come From Away,2018/9/30,89981,6184,3515,623,37367,3219,19554,780,35948,3106,Current,Musical,0.07440000000000001,9,30,2018.0
Come From Away,2018/7/30,83797,5,2892,-840,34148,3,18774,2,32842,243,Current,Musical,0.0018,7,30,2018.0
Come From Away,2018/7/23,83792,572,3732,-1503,34145,364,18772,65,32599,189,Current,Musical,0.0060999999999999995,7,23,2018.0
Come From Away,2018/7/16,83220,713,5235,-3308,33781,354,18707,61,32410,266,Current,Musical,0.0078000000000000005,7,16,2018.0
Come From Away,2018/7/9,82507,704,8543,1880,33427,459,18646,69,32144,304,Current,Musical,0.008100000000000001,7,9,2018.0
Come From Away,2018/7/2,81803,985,6663,3587,32968,332,18577,122,31840,231,Current,Musical,0.0102,7,2,2018.0
Come From Away,2018/6/25,80818,378,3076,3076,32636,32636,18455,59,31609,40,Current,Musical,0.0037,6,25,2018.0
Come From Away,2018/6/18,80440,893,0,-3954,32251.0,-31866,18396,140,31569,373,Current,Musical,0.0109,6,18,2018.0
Come From Away,2018/6/11,79547,611,3954,133,31866,321,18256,229,31196,438,Current,Musical,0.01,6,11,2018.0
Come From Away,2018/6/4,78936,552,3821,-247,31545,357,18027,86,30758,229,Current,Musical,0.0068000000000000005,6,4,2018.0
Come From Away,2018/5/28,78384,566,4068,-135,31188,426,17941,71,30529,276,Current,Musical,0.0072,5,28,2018.0
Come From Away,2018/5/21,77818,489,4203,228,30762,369,17870,71,30253,347,Current,Musical,0.0073,5,21,2018.0
Come From Away,2018/5/14,77329,571,3975,-820,30393,393,17799,66,29906,202,Current,Musical,0.0068000000000000005,5,14,2018.0
Come From Away,2018/5/7,76758,622,4795,1159,30000,428,17733,92,29704,212,Current,Musical,0.0075,5,7,2018.0
Come From Away,2018/4/30,76136,524,3636,-1058,29572,413,17641,64,29492,181,Current,Musical,0.0063,4,30,2018.0
Come From Away,2018/4/23,75612,585,4694,-2694,29159,445,17577,100,29311,325,Current,Musical,0.0083,4,23,2018.0
Come From Away,2018/4/16,75027,668,7388,3048,28714,390,17477,98,28986,290,Current,Musical,0.0088,4,16,2018.0
Come From Away,2018/4/9,74359,654,4340,-295,28324,422,17379,73,28696,289,Current,Musical,0.0085,4,9,2018.0
Come From Away,2018/4/2,73705,369,4635,-1447,27902,399,17306,141,28407,348,Current,Musical,0.0072,4,2,2018.0
Come From Away,2018/3/26,73336,961,6082,-791,27503,311,17165,138,28059,353,Current,Musical,0.0124,3,26,2018.0
Come From Away,2018/3/19,72375,564,6873,1582,27192,414,17027,170,27706,505,Current,Musical,0.010700000000000001,3,19,2018.0
Come From Away,2018/3/12,71811,447,5291,356,26778,476,16857,153,27201,513,Current,Musical,0.0097,3,12,2018.0
Come From Away,2018/3/5,71364,440,4935,2428,26302,483,16704,101,26688,307,Current,Musical,0.0074,3,5,2018.0
Come From Away,2018/2/26,70924,443,2507,-1244,25819,500,16603,86,26381,323,Current,Musical,0.0075,2,26,2018.0
Come From Away,2018/2/19,70481,460,3751,79,25319,436,16517,121,26058,388,Current,Musical,0.0086,2,19,2018.0
Come From Away,2018/2/12,70021,469,3672,-1569,24883,511,16396,141,25670,256,Current,Musical,0.0078000000000000005,2,12,2018.0
Come From Away,2018/2/5,69552,556,5241,1328,24372,517,16255,153,25414,449,Current,Musical,0.0105,2,5,2018.0
Come From Away,2018/1/29,68996,461,3913,-184,23855,524,16102,227,24965,540,Current,Musical,0.0113,1,29,2018.0
Come From Away,2018/1/22,68535,467,4097,365,23331,479,15875,231,24425,329,Current,Musical,0.0095,1,22,2018.0
Come From Away,2018/1/15,68068,516,3732,-1873,22852,465,15644,411,24096,382,Current,Musical,0.0123,1,15,2018.0
Come From Away,2018/1/8,67552,475,5605,91,22387,420,15233,105,23714,385,Current,Musical,0.0091,1,8,2018.0
Come From Away,2018/1/2,67077,751,5514,534,21967,373,15128,100,23329,279,Current,Musical,0.0108,1,2,2018.0
Come From Away,2017/12/26,66326,1090,4980,-2081,21594,406,15028,112,23050,324,Current,Musical,0.0148,12,26,2017.0
Come From Away,2017/12/18,65236,866,7061,3278,21188,407,14916,91,22726,245,Current,Musical,0.0118,12,18,2017.0
Come From Away,2017/12/11,64370,851,3783,-3281,20781,413,14825,110,22481,337,Current,Musical,0.0129,12,11,2017.0
Come From Away,2017/12/4,63519,894,7064,1481,20368,394,14715,210,22144,459,Current,Musical,0.0158,12,4,2017.0
Come From Away,2017/11/27,62625,947,5583,-8168,19974,358,14505,164,21685,495,Current,Musical,0.0165,11,27,2017.0
Come From Away,2017/11/20,61678,955,13751,7675,19616,340,14341,185,21190,452,Current,Musical,0.0166,11,20,2017.0
Come From Away,2017/11/13,60723,874,6076,2368,19276,466,14156,103,20738,283,Current,Musical,0.0134,11,13,2017.0
Come From Away,2017/11/6,59849,944,3708,-1733,18810,362,14053,124,20455,446,Current,Musical,0.0163,11,6,2017.0
Come From Away,2017/10/30,58905,916,5441,697,18448,346,13929,87,20009,291,Current,Musical,0.0141,10,30,2017.0
Come From Away,2017/10/23,57989,985,4744,293,18102,506,13842,114,19718,246,Current,Musical,0.0149,10,23,2017.0
Come From Away,2017/10/16,57004,946,4451,-1190,17596,384,13728,125,19472,244,Current,Musical,0.0148,10,16,2017.0
Come From Away,2017/10/9,56058,772,5641,684,17212,463,13603,95,19228,281,Current,Musical,0.0131,10,9,2017.0
Come From Away,2017/10/2,55286,746,4957,-1264,16749,443,13508,175,18947,347,Current,Musical,0.0147,10,2,2017.0
Come From Away,2017/9/25,54540,674,6221,-2562,16306,474,13333,142,18600,338,Current,Musical,0.013500000000000002,9,25,2017.0
Come From Away,2017/9/18,53866,990,8783,1204,15832,409,13191,258,18262,476,Current,Musical,0.0206,9,18,2017.0
Come From Away,2017/9/11,52876,1000,7579,-1014,15423,397,12933,168,17786,403,Current,Musical,0.0192,9,11,2017.0
Come From Away,2017/9/4,51876,1171,8593,-1200,15026,476,12765,177,17383,409,Current,Musical,0.0219,9,4,2017.0
Come From Away,2017/8/28,50705,957,9793,3253,14550,543,12588,238,16974,552,Current,Musical,0.0222,8,28,2017.0
Come From Away,2017/8/21,49748,820,6540,-899,14007,516,12350,173,16422,740,Current,Musical,0.0226,8,21,2017.0
Come From Away,2017/8/14,48928,875,7439,2526,13491,555,12177,175,15682,609,Current,Musical,0.022099999999999998,8,14,2017.0
Come From Away,2017/8/7,48053,1085,4913,-584,12936,441,12002,181,15073,413,Current,Musical,0.0229,8,7,2017.0
Come From Away,2017/7/31,46968,826,5497,-1393,12495,504,11821,219,14660,446,Current,Musical,0.0207,7,31,2017.0
Come From Away,2017/7/24,46142,963,6890,-1215,11991,527,11602,258,14214,488,Current,Musical,0.024300000000000002,7,24,2017.0
Come From Away,2017/7/17,45179,1486,8105,-631,11464,531,11344,229,13726,567,Current,Musical,0.0336,7,17,2017.0
Come From Away,2017/7/9,43693,1831,8736,-1768,10933,623,11115,484,13159,1133,Current,Musical,0.053399999999999996,7,9,2017.0
Come From Away,2017/7/2,41862,1791,10504,476,10310,517,10631,372,12026,571,Current,Musical,0.0443,7,2,2017.0
Come From Away,2017/6/25,40071,809,10028,-1831,9793,271,10259,248,11455,456,Current,Musical,0.025099999999999997,6,25,2017.0
Company,2019/9/29,5907,51,939,-46,4181,-2,7682,14,12021,99,Upcoming,Musical,0.0064,9,29,2019.0
Company,2019/9/22,5856,96,985,-724,4183,-1,7668,18,11922,117,Upcoming,Musical,0.0092,9,22,2019.0
Company,2019/9/15,5760,0,1709,0,4184,0,7650,0,11805,0,Upcoming,Musical,0.0,9,15,2019.0
Cursed Child,2019/9/29,1210961,408,6841,-2099,0,0,38989,319,159011,845,Current,Play,0.0011,9,29,2019.0
Cursed Child,2019/9/22,1210553,62,8940,-2789,0,0,38670,249,158166,1496,Current,Play,0.0013,9,22,2019.0
Cursed Child,2019/9/15,1210491,811,11729,-9728,0,0,38421,1912,156670,2479,Current,Play,0.0037,9,15,2019.0
Cursed Child,2019/9/8,1209680,2885,21457,18830,0,0,36509,0,154191,8610,Current,Play,0.0083,9,8,2019.0
Cursed Child,2019/9/1,1206795,-52,2627,-632,0,0,36509,291,145581,1376,Current,Play,0.0012,9,1,2019.0
Cursed Child,2019/8/25,1206847,339,3259,-1166,0,-206400,36218,166,144205,971,Current,Play,0.0011,8,25,2019.0
Cursed Child,2019/8/18,1206508,0,4425,1362,206400,625,36052,102,143234,727,Current,Play,0.0006,8,18,2019.0
Cursed Child,2019/8/11,1206508,-149,3063,632,205775,731,35950,82,142507,568,Current,Play,0.0004,8,11,2019.0
Cursed Child,2019/8/4,1206657,130,2431,235,205044,692,35868,170,141939,886,Current,Play,0.0009,8,4,2019.0
Cursed Child,2019/7/28,1206527,55,2196,-427,204352,701,35698,123,141053,537,Current,Play,0.0005,7,28,2019.0
Cursed Child,2019/7/22,1206472,11,2623,971,203651,712,35575,141,140516,725,Current,Play,0.0006,7,22,2019.0
Cursed Child,2019/7/14,1206461,-26,1652,-1474,202939,683,35434,107,139791,767,Current,Play,0.0006,7,14,2019.0
Cursed Child,2019/7/7,1206487,51,3126,319,202256,710,35327,87,139024,602,Current,Play,0.0005,7,7,2019.0
Cursed Child,2019/6/30,1206436,2302,2807,-418,201546,693,35240,85,138422,679,Current,Play,0.0022,6,30,2019.0
Cursed Child,2019/6/23,1204134,3756,3225,551,200853,670,35155,64,137743,705,Current,Play,0.0033,6,23,2019.0
Cursed Child,2019/6/16,1200378,74,2674,143,200183,553,35091,91,137038,557,Current,Play,0.0005,6,16,2019.0
Cursed Child,2019/6/9,1200304,101,2531,318,199630,651,35000,93,136481,629,Current,Play,0.0006,6,9,2019.0
Cursed Child,2019/6/2,1200203,1338,2213,-571,198979,649,34907,83,135852,368,Current,Play,0.0013,6,2,2019.0
Cursed Child,2019/5/26,1198865,-558,2784,-840,198330,423,34824,114,135484,1134,Current,Play,0.0005,5,26,2019.0
Cursed Child,2019/5/19,1199423,48,3624,1978,197907,784,34710,118,134350,1068,Current,Play,0.0009,5,19,2019.0
Cursed Child,2019/5/12,1199375,238,1646,-1996,197123,751,34592,92,133282,1283,Current,Play,0.0012,5,12,2019.0
Cursed Child,2019/5/5,1199137,611,3642,3642,196372,808,34500,64,131999,786,Current,Play,0.0011,5,5,2019.0
Cursed Child,2019/4/28,1198526,419,0,0,195564,742,34436,78,131213,966,Current,Play,0.0011,4,28,2019.0
Cursed Child,2019/4/21,1198107,122,0,0,194822,766,34358,61,130247,636,Current,Play,0.0006,4,21,2019.0
Cursed Child,2019/4/14,1197985,118,0,-3434,194056,878,34297,31,129611,892,Current,Play,0.0008,4,14,2019.0
Cursed Child,2019/4/7,1197867,-28,3434,289,193178,875,34266,66,128719,1209,Current,Play,0.0009,4,7,2019.0
Cursed Child,2019/3/31,1197895,793,3145,-42,192303,846,34200,212,127510,1523,Current,Play,0.0019,3,31,2019.0
Cursed Child,2019/3/24,1197102,1693,3187,-845,191457,837,33988,344,125987,1287,Current,Play,0.0025,3,24,2019.0
Cursed Child,2019/3/17,1195409,1618,4032,-58,190620,861,33644,54,124700,891,Current,Play,0.0019,3,17,2019.0
Cursed Child,2019/3/10,1193791,219,4090,2208,189759,875,33590,18,123809,238,Current,Play,0.0004,3,10,2019.0
Cursed Child,2019/3/3,1193572,316,1882,-276,188884,865,33572,8,123571,400,Current,Play,0.0005,3,3,2019.0
Cursed Child,2019/2/24,1193256,612,2158,383,188019,1122,33564,100,123171,1345,Current,Play,0.0015,2,24,2019.0
Cursed Child,2019/2/17,1192644,190,1775,141,186897,970,33464,28,121826,636,Current,Play,0.0006,2,17,2019.0
Cursed Child,2019/2/10,1192454,676,1634,-891,185927,971,33436,-14,121190,899,Current,Play,0.0012,2,10,2019.0
Cursed Child,2019/2/3,1191778,1469,2525,-240,184956,999,33450,17,120291,504,Current,Play,0.0015,2,3,2019.0
Cursed Child,2019/1/27,1190309,-295,2765,220,183957,890,33433,18,119787,297,Current,Play,0.0,1,27,2019.0
Cursed Child,2019/1/20,1190604,1548,2545,843,183067,983,33415,16,119490,1029,Current,Play,0.0019,1,20,2019.0
Cursed Child,2019/1/13,1189056,468,1702,-1397,182084,920,33399,50,118461,657,Current,Play,0.0009,1,13,2019.0
Cursed Child,2019/1/6,1188588,27,3099,1003,181164,694,33349,45,117804,491,Current,Play,0.0004,1,6,2019.0
Cursed Child,2018/12/30,1188561,33,2096,-2918,180470,2725,33304,156,117313,3711,Current,Play,0.0029,12,30,2018.0
Cursed Child,2018/12/10,1188528,892,5014,426,177745,840,33148,72,113602,1876,Current,Play,0.0021,12,10,2018.0
Cursed Child,2018/12/3,1187636,-340,4588,-2077,176905,859,33076,191,111726,2242,Current,Play,0.0016,12,3,2018.0
Cursed Child,2018/11/26,1187976,712,6665,1859,176046,916,32885,81,109484,3424,Current,Play,0.0032,11,26,2018.0
Cursed Child,2018/11/18,1187264,529,4806,-6887,175130,838,32804,140,106060,2603,Current,Play,0.0025,11,18,2018.0
Cursed Child,2018/11/12,1186735,749,11693,-3453,174292,859,32664,73,103457,1773,Current,Play,0.002,11,12,2018.0
Cursed Child,2018/11/4,1185986,1493,15146,9835,173433,858,32591,83,101684,1014,Current,Play,0.002,11,4,2018.0
Cursed Child,2018/10/28,1184493,1274,5311,1391,172575,849,32508,92,100670,336,Current,Play,0.0013,10,28,2018.0
Cursed Child,2018/10/21,1183219,2063,3920,1399,171726,734,32416,83,100334,504,Current,Play,0.002,10,21,2018.0
Cursed Child,2018/10/14,1181156,1187,2521,-346,170992,780,32333,90,99830,468,Current,Play,0.0013,10,14,2018.0
Cursed Child,2018/10/7,1179969,1226,2867,-8580,170212,868,32243,158,99362,1144,Current,Play,0.0019,10,7,2018.0
Cursed Child,2018/9/30,1178743,14751,11447,4608,169344,7948,32085,1928,98218,11920,Current,Play,0.0223,9,30,2018.0
Cursed Child,2018/7/30,1163992,8,6839,0,161396,5,30157,4,86298,85,Current,Play,0.0001,7,30,2018.0
Cursed Child,2018/7/23,1163984,343,6839,3318,161391,902,30153,35,86213,31,Current,Play,0.0003,7,23,2018.0
Cursed Child,2018/7/16,1163641,417,3521,-7118,160489,917,30118,75,86182,480,Current,Play,0.0008,7,16,2018.0
Cursed Child,2018/7/9,1163224,1574,10639,4702,159572,867,30043,142,85702,1825,Current,Play,0.0028000000000000004,7,9,2018.0
Cursed Child,2018/7/2,1161650,2787,5937,-5622,158705,847,29901,97,83877,1650,Current,Play,0.0036,7,2,2018.0
Cursed Child,2018/6/25,1158863,1150,11559,11559,157858,157858,29804,99,82227,454,Current,Play,0.0013,6,25,2018.0
Cursed Child,2018/6/18,1157713,33766,0,-86339,156867.5,-155877,29705,327,81773,2089,Current,Play,0.029300000000000003,6,18,2018.0
Cursed Child,2018/6/11,1123947,34412,86339,12173,155877,1086,29378,769,79684,2295,Current,Play,0.0313,6,11,2018.0
Cursed Child,2018/6/4,1089535,35213,74166,-43749,154791,1080,28609,115,77389,1018,Current,Play,0.031400000000000004,6,4,2018.0
Cursed Child,2018/5/28,1054322,49807,117915,44620,153711,805,28494,66,76371,1769,Current,Play,0.0466,5,28,2018.0
Cursed Child,2018/5/21,1004515,49859,73295,-12213,152906,987,28428,261,74602,2931,Current,Play,0.050300000000000004,5,21,2018.0
Cursed Child,2018/5/14,954656,55542,85508,-2854,151919,966,28167,382,71671,1766,Current,Play,0.0579,5,14,2018.0
Cursed Child,2018/5/7,899114,54194,88362,14402,150953,1050,27785,663,69905,3485,Current,Play,0.0622,5,7,2018.0
Cursed Child,2018/4/30,844920,55726,73960,-24831,149903,1084,27122,1076,66420,2992,Current,Play,0.0681,4,30,2018.0
Cursed Child,2018/4/23,789194,73295,98791,-10085,148819,1131,26046,1756,63428,6712,Current,Play,0.1026,4,23,2018.0
Cursed Child,2018/4/16,715899,81539,108876,82381,147688,1062,24290,286,56716,2030,Current,Play,0.1176,4,16,2018.0
Cursed Child,2018/4/9,634360,21305,26495,2295,146626,1161,24004,156,54686,2367,Current,Play,0.0346,4,9,2018.0
Cursed Child,2018/4/2,613055,20719,24200,19722,145465,1047,23848,375,52319,2752,Current,Play,0.0358,4,2,2018.0
Cursed Child,2018/3/26,592336,991,4478,-2687,144418,1103,23473,372,49567,2335,Current,Play,0.005600000000000001,3,26,2018.0
Cursed Child,2018/3/19,591345,1581,7165,4420,143315,1102,23101,1017,47232,2952,Current,Play,0.0085,3,19,2018.0
Cursed Child,2018/3/12,589764,1367,2745,-3093,142213,1064,22084,1776,44280,3151,Upcoming,Play,0.0097,3,12,2018.0
Cursed Child,2018/3/5,588397,1036,5838,1421,141149,1065,20308,441,41129,1494,Upcoming,Play,0.0046,3,5,2018.0
Cursed Child,2018/2/26,587361,631,4417,1138,140084,1190,19867,102,39635,1174,Upcoming,Play,0.003,2,26,2018.0
Cursed Child,2018/2/19,586730,495,3279,212,138894,1138,19765,124,38461,1478,Upcoming,Play,0.0033,2,19,2018.0
Cursed Child,2018/2/12,586235,889,3067,-1617,137756,1232,19641,690,36983,939,Upcoming,Play,0.0039000000000000003,2,12,2018.0
Cursed Child,2018/2/5,585346,686,4684,-5205,136524,1300,18951,139,36044,1138,Upcoming,Play,0.0031,2,5,2018.0
Cursed Child,2018/1/29,584660,1336,9889,7799,135224,1270,18812,312,34906,1801,Upcoming,Play,0.0054,1,29,2018.0
Cursed Child,2018/1/22,583324,697,2090,-3789,133954,1259,18500,144,33105,1393,Upcoming,Play,0.0034999999999999996,1,22,2018.0
Cursed Child,2018/1/15,582627,926,5879,2352,132695,1313,18356,282,31712,1953,Upcoming,Play,0.005,1,15,2018.0
Cursed Child,2018/1/8,581701,586,3527,-294,131382,1232,18074,145,29759,1235,Upcoming,Play,0.0031,1,8,2018.0
Cursed Child,2018/1/2,581115,379,3821,-2492,130150,1215,17929,152,28524,1465,Upcoming,Play,0.0032,1,2,2018.0
Cursed Child,2017/12/26,580736,547,6313,3963,128935,1138,17777,197,27059,1152,Upcoming,Play,0.003,12,26,2017.0
Cursed Child,2017/12/18,580189,53,2350,-1965,127797,1131,17580,93,25907,749,Upcoming,Play,0.0014000000000000002,12,18,2017.0
Cursed Child,2017/12/11,580136,542,4315,-1511,126666,1028,17487,105,25158,757,Upcoming,Play,0.0023,12,11,2017.0
Cursed Child,2017/12/4,579594,0,5826,0,125638,0,17382,0,24401,0,Upcoming,Play,0.0,12,4,2017.0
Cursed Child,2017/11/27,579030,1277,6091,3525,124430,1081,17275,129,23411,887,Upcoming,Play,0.0037,11,27,2017.0
Cursed Child,2017/11/20,577753,605,2566,-852,123349,1214,17146,118,22524,1131,Upcoming,Play,0.003,11,20,2017.0
Cursed Child,2017/11/13,577148,660,3418,543,122135,1200,17028,132,21393,1045,Upcoming,Play,0.003,11,13,2017.0
Cursed Child,2017/11/6,576488,678,2875,-15978,120935,1214,16896,163,20348,838,Upcoming,Play,0.0027,11,6,2017.0
Cursed Child,2017/10/30,575810,9461,18853,12989,119721,1237,16733,284,19510,771,Upcoming,Play,0.0175,10,30,2017.0
Cursed Child,2017/10/23,566349,2543,5864,1916,118484,1203,16449,2464,18739,1532,Upcoming,Play,0.011000000000000001,10,23,2017.0
Cursed Child,2017/10/16,563806,740,3948,-1664,117281,1167,13985,245,17207,746,Upcoming,Play,0.0029,10,16,2017.0
Cursed Child,2017/10/9,563066,2105,5612,-7360,116114,1341,13740,412,16461,684,Upcoming,Play,0.0054,10,9,2017.0
Cursed Child,2017/10/2,560961,3972,12972,6982,114773,1330,13328,2027,15777,1496,Upcoming,Play,0.0129,10,2,2017.0
Cursed Child,2017/9/25,556989,715,5990,-1254,113443,1330,11301,527,14281,805,Upcoming,Play,0.0034999999999999996,9,25,2017.0
Cursed Child,2017/9/18,556274,1117,7244,-2855,112113,1296,10774,168,13476,788,Upcoming,Play,0.0036,9,18,2017.0
Cursed Child,2017/9/11,555157,906,10099,-30870,110817,1217,10606,412,12688,1101,Upcoming,Play,0.0042,9,11,2017.0
Cursed Child,2017/9/4,554251,2776,40969,36078,109600,1267,10194,479,11587,1159,Upcoming,Play,0.0077,9,4,2017.0
Cursed Child,2017/8/28,551475,851,4891,2126,108333,1234,9715,66,10428,10428,Upcoming,Play,0.0202,8,28,2017.0
Cursed Child,2017/8/21,550624,806,2765,-1695,107099,1327,9649,68,10050.5,-9673,Upcoming,Play,-0.0155,8,21,2017.0
Cursed Child,2017/8/14,549818,853,4460,-16273,105772,1508,9581,135,9673,338,Upcoming,Play,0.0023,8,14,2017.0
Cursed Child,2017/8/7,548965,8379,20733,3826,104264,1460,9446,3297,9335,2894,Upcoming,Play,0.0263,8,7,2017.0
Cursed Child,2017/7/31,540586,2341,16907,3998,102804,1462,6149,60,6441,165,Upcoming,Play,0.004699999999999999,7,31,2017.0
Cursed Child,2017/7/24,538245,1576,12909,9959,101342,1352,6089,62,6276,182,Upcoming,Play,0.0033,7,24,2017.0
Cursed Child,2017/7/17,536669,969,2950,-4986,99990,1171,6027,48,6094,229,Upcoming,Play,0.0023,7,17,2017.0
Cursed Child,2017/7/9,535700,1131,7936,2347,98819,1370,5979,52,5865,230,Upcoming,Play,0.0026,7,9,2017.0
Cursed Child,2017/7/2,534569,2638,5589,1155,97449,1419,5927,79,5635,283,Upcoming,Play,0.0055000000000000005,7,2,2017.0
Cursed Child,2017/6/25,531931,0,4434,0,96030,0,5848,0,5352,0,Upcoming,Play,0.0,6,25,2017.0
Darren Brown: Secret,2019/9/29,693,31,290,-212,199,77,762,18,1518,166,Current,Play,0.078,9,29,2019.0
Darren Brown: Secret,2019/9/22,662,40,502,-36,122,32,744,39,1352,422,Upcoming,Play,0.222,9,22,2019.0
Darren Brown: Secret,2019/9/15,622,64,538,-196,90,71,705,60,930,189,Upcoming,Play,0.161,9,15,2019.0
Darren Brown: Secret,2019/9/8,558,99,734,472,19,18,645,89,741,291,Upcoming,Play,0.327,9,8,2019.0
Darren Brown: Secret,2019/9/1,459,24,262,-85,1,0,556,7,450,36,Upcoming,Play,0.0479,9,1,2019.0
Darren Brown: Secret,2019/8/25,435,59,347,164,1,1,549,72,414,61,Upcoming,Play,0.1592,8,25,2019.0
Darren Brown: Secret,2019/8/18,376,68,183,-108,0,0,477,70,353,175,Upcoming,Play,0.3505,8,18,2019.0
Darren Brown: Secret,2019/8/11,308,67,291,217,0,0,407,41,178,83,Upcoming,Play,0.2721,8,11,2019.0
Darren Brown: Secret,2019/8/4,241,12,74,-22,0,0,366,6,95,4,Upcoming,Play,0.032400000000000005,8,4,2019.0
Darren Brown: Secret,2019/7/28,229,0,96,0,0,0,360,0,91,0,Upcoming,Play,0.0,7,28,2019.0
Dear Evan Hansen,2019/9/29,184554,-47,2019,-3110,59115,394,174805,701,491482,2047,Current,Musical,0.0032,9,29,2019.0
Dear Evan Hansen,2019/9/22,184601,71,5129,9,58721,434,174104,635,489435,1238,Current,Musical,0.0023,9,22,2019.0
Dear Evan Hansen,2019/9/15,184530,396,5120,2324,58287,557,173469,1106,488197,1982,Current,Musical,0.0040999999999999995,9,15,2019.0
Dear Evan Hansen,2019/9/8,184134,44,2796,-11,57730,519,172363,393,486215,841,Current,Musical,0.0015,9,8,2019.0
Dear Evan Hansen,2019/9/1,184090,15,2807,-256,57211,465,171970,402,485374,1085,Current,Musical,0.0018,9,1,2019.0
Dear Evan Hansen,2019/8/25,184075,51,3063,-567,56746,446,171568,400,484289,1401,Current,Musical,0.0022,8,25,2019.0
Dear Evan Hansen,2019/8/18,184024,74,3630,-1940,56300,508,171168,476,482888,1669,Current,Musical,0.0027,8,18,2019.0
Dear Evan Hansen,2019/8/11,183950,168,5570,-173,55792,397,170692,567,481219,941,Current,Musical,0.002,8,11,2019.0
Dear Evan Hansen,2019/8/4,183782,604,5743,1726,55395,451,170125,1763,480278,1489,Current,Musical,0.0046,8,4,2019.0
Dear Evan Hansen,2019/7/28,183178,59,4017,1264,54944,422,168362,344,478789,1160,Current,Musical,0.0019,7,28,2019.0
Dear Evan Hansen,2019/7/22,183119,95,2753,-2575,54522,455,168018,433,477629,1249,Current,Musical,0.0021,7,22,2019.0
Dear Evan Hansen,2019/7/14,183024,809,5328,1208,54067,446,167585,1720,476380,2618,Current,Musical,0.0063,7,14,2019.0
Dear Evan Hansen,2019/7/7,182215,117,4120,-17726,53621,463,165865,394,473762,1564,Current,Musical,0.0025,7,7,2019.0
Dear Evan Hansen,2019/6/30,182098,189,21846,18174,53158,450,165471,685,472198,1635,Current,Musical,0.0031,6,30,2019.0
Dear Evan Hansen,2019/6/23,181909,101,3672,-1529,52708,398,164786,332,470563,1304,Current,Musical,0.0021,6,23,2019.0
Dear Evan Hansen,2019/6/16,181808,494,5201,-966,52310,364,164454,544,469259,1299,Current,Musical,0.0029,6,16,2019.0
