Show,Date,FB Likes,Likes Vs.Last Week,FB Talking About,Talking Vs.Last Week,FB Checkins,Checkins vs.Last Week,Twitter Followers,Twitter vs.Last Week,Instagram Followers,IG Followers vs.Last Week,Current,Type,Total Fans Change
Chicago,4/14,"158,938",-3,0,-974,"68,314",403,"16,266",9,"39,129",198,Current,Musical,0.10%
Chicago,4/7,"158,941",4,974,202,"67,911",484,"16,257",19,"38,931",132,Current,Musical,0.07%
Chicago,3/31,"158,937",0,772,15,"67,427",417,"16,238",-3,"38,799",242,Current,Musical,0.11%
Chicago,3/24,"158,937",-8,757,-590,"67,010",402,"16,241",27,"38,557",193,Current,Musical,0.10%
Chicago,3/17,"158,945",10,"1,347",25,"66,608",509,"16,214",2,"38,364",127,Current,Musical,0.07%
Chicago,3/10,"158,935",16,"1,322",705,"66,099",432,"16,212",8,"38,237",251,Current,Musical,0.13%
Chicago,3/3,"158,919",-14,617,-4,"65,667",458,"16,204",1,"37,986",111,Current,Musical,0.05%
Chicago,2/24,"158,933",-12,621,-302,"65,209",449,"16,203",5,"37,875",145,Current,Musical,0.06%
Chicago,2/17,"158,945",-13,923,-82,"64,760",521,"16,198",8,"37,730",153,Current,Musical,0.07%
Chicago,2/10,"158,958",-32,"1,005",-74,"64,239",576,"16,190",-1,"37,577",294,Current,Musical,0.12%
Chicago,2/3,"158,990",-16,"1,079",11,"63,663",455,"16,191",10,"37,283",379,Current,Musical,0.18%
Chicago,1/27,"159,006",14,"1,068",-688,"63,208",537,"16,181",12,"36,904",205,Current,Musical,0.11%
Chicago,1/20,"158,992",16,"1,756",728,"62,671",571,"16,169",30,"36,699",83,Current,Musical,0.06%
Chicago,1/13,"158,976",46,"1,028",258,"62,100",486,"16,139",-7,"36,616",200,Current,Musical,0.11%
Chicago,1/6,"158,930",19,770,-88,"61,614",272,"16,146",13,"36,416",91,Current,Musical,0.06%
Chicago,12/30,"158,911",-47,858,-97,"61,342","1,526","16,133",22,"36,325",433,Current,Musical,0.19%
Chicago,12/10,"158,958",-8,955,26,"59,816",539,"16,111",7,"35,892",146,Current,Musical,0.07%
Chicago,12/3,"158,966",8,929,-18,"59,277",661,"16,104",-4,"35,746",129,Current,Musical,0.06%
Chicago,11/26,"158,958",-22,947,-511,"58,616",448,"16,108",8,"35,617",243,Current,Musical,0.11%
Chicago,11/18,"158,980",36,"1,458",394,"58,168",487,"16,100",16,"35,374",197,Current,Musical,0.12%
Chicago,11/12,"158,944",10,"1,064",217,"57,681",429,"16,084",-83,"35,177",82,Current,Musical,0%
Chicago,11/4,"158,934",9,847,-8,"57,252",376,"16,167",10,"35,095",115,Current,Musical,0.06%
Chicago,10/28,"158,925",30,855,-18,"56,876",370,"16,157",-6,"34,980",139,Current,Musical,0.08%
Chicago,10/21,"158,895",31,873,76,"56,506",251,"16,163",28,"34,841",132,Current,Musical,0.09%
Chicago,10/14,"158,864",25,797,-82,"56,255",381,"16,135",54,"34,709",96,Current,Musical,0.08%
Chicago,10/7,"158,839",7,879,379,"55,874",272,"16,081",37,"34,613",169,Current,Musical,0.10%
Chicago,9/30,"158,832",70,500,30,"55,602","2,117","16,044",70,"34,444","1,854",Current,Musical,0.96%
Chicago,7/30,"158,762",2,470,1,"53,485",0,"15,974",0,"32,590",47,Current,Musical,0.02%
Chicago,7/23,"158,760",-3,469,74,"53,485",85,"15,974",-1,"32,543",12,Current,Musical,0%
Chicago,7/16,"158,763",-22,395,-455,"53,400",90,"15,975",-355,"32,531",89,Current,Musical,-0.14%
Chicago,7/9,"158,785",-37,850,375,"53,310",85,"16,330",11,"32,442",97,Current,Musical,0.03%
Chicago,7/2,"158,822",-32,475,-353,"53,225",59,"16,319",-8,"32,345",48,Current,Musical,0%
Chicago,6/25,"158,854",-35,828,828,"53,166","53,166","16,327",0,"32,297",-17,Current,Musical,-0.03%
Chicago,6/18,"158,889",-14,0,-770,0,"-53,087","16,327",19,"32,314",80,Current,Musical,0.04%
Chicago,6/11,"158,903",15,770,44,"53,087",7,"16,308",29,"32,234",73,Current,Musical,0.06%
Chicago,6/4,"158,888",19,726,307,"53,080",20,"16,279",7,"32,161",81,Current,Musical,0.05%
Chicago,5/28,"158,869",6,419,-197,"53,060",23,"16,272",-5,"32,080",33,Current,Musical,0.02%
Chicago,5/21,"158,863",-39,616,-270,"53,037",23,"16,277",27,"32,047",70,Current,Musical,0.03%
Chicago,5/14,"158,902",-14,886,117,"53,014",20,"16,250",26,"31,977",153,Current,Musical,0.08%
Chicago,5/7,"158,916",9,769,-174,"52,994",36,"16,224",11,"31,824",155,Current,Musical,0.08%
Chicago,4/30,"158,907",-16,943,26,"52,958",15,"16,213",15,"31,669",99,Current,Musical,0.05%
Chicago,4/23,"158,923",-29,917,-12,"52,943",25,"16,198",9,"31,570",72,Current,Musical,0.03%
Chicago,4/16,"158,952",-7,929,-5,"52,918",0,"16,189",15,"31,498",149,Current,Musical,0.08%
Chicago,4/9,"158,959",-12,934,277,"52,918",11,"16,174",22,"31,349",109,Current,Musical,0.06%
Chicago,4/2,"158,971",-22,657,-190,"52,907",44,"16,152",26,"31,240",143,Current,Musical,0.07%
Chicago,3/26,"158,993",-42,847,61,"52,863",40,"16,126",19,"31,097",138,Current,Musical,0.06%
Chicago,3/19,"159,035",7,786,-93,"52,823",42,"16,107",35,"30,959",169,Current,Musical,0.10%
Chicago,3/12,"159,028",101,879,-35,"52,781",44,"16,072",8,"30,790",311,Current,Musical,0.20%
Chicago,3/5,"158,927",26,914,71,"52,737",58,"16,064",13,"30,479",132,Current,Musical,0.08%
Chicago,2/26,"158,901",11,843,-326,"52,679",46,"16,051",12,"30,347",141,Current,Musical,0.08%
Chicago,2/19,"158,890",45,"1,169",-128,"52,633",29,"16,039",21,"30,206",237,Current,Musical,0.15%
Chicago,2/12,"158,845",55,"1,297","-2,616","52,604",22,"16,018",21,"29,969",313,Current,Musical,0.19%
Chicago,2/5,"158,790",250,"3,913","-9,204","52,582",42,"15,997",30,"29,656",184,Current,Musical,0.23%
Chicago,1/29,"158,540",758,"13,117","11,323","52,540",23,"15,967",38,"29,472",237,Current,Musical,0.51%
Chicago,1/22,"157,782",41,"1,794",865,"52,517",11,"15,929",128,"29,235","1,254",Current,Musical,0.71%
Chicago,1/15,"157,741",63,929,-50,"52,506",18,"15,801",52,"27,981",320,Current,Musical,0.22%
Chicago,1/8,"157,678",73,979,10,"52,488",44,"15,749",20,"27,661",185,Current,Musical,0.14%
Chicago,1/2,"157,605",61,969,-641,"52,444",25,"15,729",7,"27,476",107,Current,Musical,0.09%
Chicago,12/26,"157,544",82,"1,610",107,"52,419",17,"15,722",17,"27,369",234,Current,Musical,0.17%
Chicago,12/18,"157,462",91,"1,503",-310,"52,402",33,"15,705",32,"27,135",187,Current,Musical,0.16%
Chicago,12/11,"157,371",140,"1,813",170,"52,369",19,"15,673",20,"26,948",179,Current,Musical,0.17%
Chicago,12/4,"157,231",141,"1,643","-1,350","52,350",-6,"15,653",38,"26,769",911,Current,Musical,0.55%
Chicago,11/27,"157,090",188,"2,993","-2,519","52,356",85,"15,615",22,"25,858",553,Current,Musical,0.39%
Chicago,11/20,"156,902",167,"5,512","4,726","52,271",17,"15,593",76,"25,305","1,179",Current,Musical,0.72%
Chicago,11/13,"156,735",22,786,-350,"52,254",35,"15,517",11,"24,126",76,Current,Musical,0.06%
Chicago,11/6,"156,713",11,"1,136",545,"52,219",24,"15,506",3,"24,050",61,Current,Musical,0.04%
Chicago,10/30,"156,702",47,591,-213,"52,195",34,"15,503",10,"23,989",113,Current,Musical,0.09%
Chicago,10/23,"156,655",36,804,-135,"52,161",3,"15,493",11,"23,876",67,Current,Musical,0.06%
Chicago,10/16,"156,619",2,939,154,"52,158",27,"15,482",17,"23,809",68,Current,Musical,0.04%
Chicago,10/9,"156,617",16,785,295,"52,131",-5,"15,465",12,"23,741",49,Current,Musical,0.04%
Chicago,10/2,"156,601",1,490,-269,"52,136",15,"15,453",4,"23,692",124,Current,Musical,0.07%
Chicago,9/25,"156,600",16,759,-183,"52,121",3,"15,449",18,"23,568",60,Current,Musical,0.05%
Chicago,9/18,"156,584",42,942,202,"52,118",16,"15,431",5,"23,508",19,Current,Musical,0.03%
Chicago,9/11,"156,542",16,740,131,"52,102",18,"15,426",19,"23,489",70,Current,Musical,0.05%
Chicago,9/4,"156,526",59,609,-958,"52,084",21,"15,407",5,"23,419",137,Current,Musical,0.10%
Chicago,8/28,"156,467",96,"1,567",465,"52,063",11,"15,402",18,"23,282",171,Current,Musical,0.15%
Chicago,8/21,"156,371",111,"1,102","-1,126","52,052",13,"15,384",13,"23,111",236,Current,Musical,0.19%
Chicago,8/14,"156,260",162,"2,228",118,"52,039",16,"15,371",20,"22,875",167,Current,Musical,0.18%
Chicago,8/7,"156,098",130,"2,110",64,"52,023",14,"15,351",28,"22,708",105,Current,Musical,0.14%
Chicago,7/31,"155,968",116,"2,046","1,150","52,009",25,"15,323",15,"22,603",147,Current,Musical,0.14%
Chicago,7/24,"155,852",77,896,33,"51,984",20,"15,308",13,"22,456",106,Current,Musical,0.10%
Chicago,7/17,"155,775",123,863,47,"51,964",32,"15,295",19,"22,350",55,Current,Musical,0.10%
Chicago,7/9,"155,652",101,816,"-1,675","51,932",30,"15,276",42,"22,295",83,Current,Musical,0.12%
Chicago,7/2,"155,551",163,"2,491",913,"51,902",20,"15,234",29,"22,212",54,Current,Musical,0.13%
Chicago,6/25,"155,388",44,"1,578",900,"51,882",16,"15,205",15,"22,158",70,Current,Musical,0.07%
Come From Away,9/29,"125,766",538,"4,645",237,"56,680",419,"24,936",74,"58,399",332,Current,Musical,0.45%
Come From Away,9/22,"125,228",596,"4,408","-11,164","56,261",443,"24,862",132,"58,067",433,Current,Musical,0.56%
Come From Away,9/15,"124,632","1,035","15,572","9,712","55,818",540,"24,730",208,"57,634",630,Current,Musical,0.91%
Come From Away,9/8,"123,597",497,"5,860",947,"55,278",501,"24,522",87,"57,004",202,Current,Musical,0.80%
Come From Away,9/1,"123,100",717,"4,913",938,"54,777",399,"24,435",103,"56,802",362,Current,Musical,0.58%
Come From Away,8/25,"122,383",712,"3,975",7,"54,378",387,"24,332",90,"56,440",255,Current,Musical,0.52%
Come From Away,8/18,"121,671",660,"3,968",-228,"53,991",423,"24,242",94,"56,185",456,Current,Musical,0.60%
Come From Away,8/11,"121,011",607,"4,196","-2,679","53,568",396,"24,148",100,"55,729",422,Current,Musical,0.57%
Come From Away,8/4,"120,404",779,"6,875",760,"53,172",414,"24,048",94,"55,307",390,Current,Musical,0.64%
Come From Away,7/28,"119,625",640,"6,115","2,154","52,758",430,"23,954",116,"54,917",516,Current,Musical,0.64%
Come From Away,7/22,"118,985",714,"3,961",-456,"52,328",465,"23,838",113,"54,401",531,Current,Musical,0.69%
Come From Away,7/14,"118,271",770,"4,417",-857,"51,863",379,"23,725",360,"53,870",513,Current,Musical,0.85%
Come From Away,7/7,"117,501",793,"5,274",-645,"51,484",417,"23,365",60,"53,357",608,Current,Musical,0.76%
Come From Away,6/30,"116,708",770,"5,919","1,303","51,067",376,"23,305",90,"52,749",569,Current,Musical,0.75%
Come From Away,6/23,"115,938",671,"4,616","1,219","50,691",327,"23,215",65,"52,180",458,Current,Musical,0.63%
Come From Away,6/16,"115,267",646,"3,397","-2,453","50,364",265,"23,150",118,"51,722",486,Current,Musical,0.66%
Come From Away,6/9,"114,621",733,"5,850","2,010","50,099",320,"23,032",139,"51,236",528,Current,Musical,0.75%
Come From Away,6/2,"113,888",613,"3,840","-1,008","49,779",265,"22,893",82,"50,708",416,Current,Musical,0.60%
Come From Away,5/26,"113,275",789,"4,848","1,230","49,514",359,"22,811",83,"50,292",468,Current,Musical,0.72%
Come From Away,5/19,"112,486",697,"3,618","-1,622","49,155",353,"22,728",108,"49,824",432,Current,Musical,0.67%
Come From Away,5/12,"111,789",607,"5,240",883,"48,802",382,"22,620",68,"49,392",481,Current,Musical,0.63%
Come From Away,5/5,"111,182",761,"4,357","4,357","48,420",350,"22,552",80,"48,911",430,Current,Musical,0.70%
Come From Away,4/28,"110,421",727,0,0,"48,070",371,"22,472",125,"48,481",441,Current,Musical,0.72%
Come From Away,4/21,"109,694",723,0,0,"47,699",322,"22,347",130,"48,040",512,Current,Musical,0.76%
Come From Away,4/14,"108,971",823,0,"-8,555","47,377",307,"22,217",175,"47,528",598,Current,Musical,0.90%
Come From Away,4/7,"108,148",933,"8,555","4,538","47,070",322,"22,042",158,"46,930",558,Current,Musical,0.94%
Come From Away,3/31,"107,215",656,"4,017",-348,"46,748",312,"21,884",70,"46,372",575,Current,Musical,0.75%
Come From Away,3/24,"106,559",689,"4,365",-140,"46,436",343,"21,814",111,"45,797",601,Current,Musical,0.81%
Come From Away,3/17,"105,870",642,"4,505","-2,629","46,093",315,"21,703",130,"45,196",452,Current,Musical,0.71%
Come From Away,3/10,"105,228",704,"7,134","2,380","45,778",386,"21,573",121,"44,744",412,Current,Musical,0.73%
Come From Away,3/3,"104,524",707,"4,754",519,"45,392",394,"21,452",113,"44,332",414,Current,Musical,0.73%
Come From Away,2/24,"103,817",610,"4,235","1,439","44,998",439,"21,339",106,"43,918",521,Current,Musical,0.74%
Come From Away,2/17,"103,207",264,"2,796","-3,102","44,559",407,"21,233",102,"43,397",446,Current,Musical,0.49%
Come From Away,2/10,"102,943",675,"5,898",-270,"44,152",490,"21,131",91,"42,951",404,Current,Musical,0.71%
Come From Away,2/3,"102,268",688,"6,168","3,365","43,662",366,"21,040",135,"42,547",326,Current,Musical,0.70%
Come From Away,1/27,"101,580",717,"2,803","-4,520","43,296",436,"20,905",105,"42,221",397,Current,Musical,0.75%
Come From Away,1/20,"100,863",855,"7,323","3,716","42,860",431,"20,800",88,"41,824",298,Current,Musical,0.76%
Come From Away,1/13,"100,008",817,"3,607","-2,161","42,429",417,"20,712",128,"41,526",309,Current,Musical,0.78%
Come From Away,1/6,"99,191",483,"5,768","-1,439","42,012",299,"20,584",52,"41,217",306,Current,Musical,0.53%
Come From Away,12/30,"98,708","2,242","7,207","3,424","41,713","1,158","20,532",271,"40,911","1,070",Current,Musical,2.29%
Come From Away,12/10,"96,466",672,"3,783","-1,033","40,555",272,"20,261",68,"39,841",340,Current,Musical,0.69%
Come From Away,12/3,"95,794",587,"4,816","1,912","40,283",387,"20,193",60,"39,501",287,Current,Musical,0.60%
Come From Away,11/26,"95,207",552,"2,904",-400,"39,896",352,"20,133",88,"39,214",272,Current,Musical,0.59%
Come From Away,11/18,"94,655",513,"3,304",-338,"39,544",318,"20,045",47,"38,942",404,Current,Musical,0.63%
Come From Away,11/12,"94,142",615,"3,642",614,"39,226",285,"19,998",34,"38,538",397,Current,Musical,0.69%
Come From Away,11/4,"93,527",694,"3,028",-145,"38,941",389,"19,964",59,"38,141",497,Current,Musical,0.83%
Come From Away,10/28,"92,833",620,"3,173",-326,"38,552",301,"19,905",72,"37,644",478,Current,Musical,0.78%
Come From Away,10/21,"92,213",783,"3,499","-2,746","38,251",268,"19,833",77,"37,166",436,Current,Musical,0.88%
Come From Away,10/14,"91,430",766,"6,245","3,308","37,983",323,"19,756",139,"36,730",448,Current,Musical,0.92%
Come From Away,10/7,"90,664",683,"2,937",-578,"37,660",293,"19,617",63,"36,282",334,Current,Musical,0.74%
Come From Away,9/30,"89,981","6,184","3,515",623,"37,367","3,219","19,554",780,"35,948","3,106",Current,Musical,7.44%
Come From Away,7/30,"83,797",5,"2,892",-840,"34,148",3,"18,774",2,"32,842",243,Current,Musical,0.18%
Come From Away,7/23,"83,792",572,"3,732","-1,503","34,145",364,"18,772",65,"32,599",189,Current,Musical,0.61%
Come From Away,7/16,"83,220",713,"5,235","-3,308","33,781",354,"18,707",61,"32,410",266,Current,Musical,0.78%
Come From Away,7/9,"82,507",704,"8,543","1,880","33,427",459,"18,646",69,"32,144",304,Current,Musical,0.81%
Come From Away,7/2,"81,803",985,"6,663","3,587","32,968",332,"18,577",122,"31,840",231,Current,Musical,1.02%
Come From Away,6/25,"80,818",378,"3,076","3,076","32,636","32,636","18,455",59,"31,609",40,Current,Musical,0.37%
Come From Away,6/18,"80,440",893,0,"-3,954",0,"-31,866","18,396",140,"31,569",373,Current,Musical,1.09%
Come From Away,6/11,"79,547",611,"3,954",133,"31,866",321,"18,256",229,"31,196",438,Current,Musical,1%
Come From Away,6/4,"78,936",552,"3,821",-247,"31,545",357,"18,027",86,"30,758",229,Current,Musical,0.68%
Come From Away,5/28,"78,384",566,"4,068",-135,"31,188",426,"17,941",71,"30,529",276,Current,Musical,0.72%
Come From Away,5/21,"77,818",489,"4,203",228,"30,762",369,"17,870",71,"30,253",347,Current,Musical,0.73%
Come From Away,5/14,"77,329",571,"3,975",-820,"30,393",393,"17,799",66,"29,906",202,Current,Musical,0.68%
Come From Away,5/7,"76,758",622,"4,795","1,159","30,000",428,"17,733",92,"29,704",212,Current,Musical,0.75%
Come From Away,4/30,"76,136",524,"3,636","-1,058","29,572",413,"17,641",64,"29,492",181,Current,Musical,0.63%
Come From Away,4/23,"75,612",585,"4,694","-2,694","29,159",445,"17,577",100,"29,311",325,Current,Musical,0.83%
Come From Away,4/16,"75,027",668,"7,388","3,048","28,714",390,"17,477",98,"28,986",290,Current,Musical,0.88%
Come From Away,4/9,"74,359",654,"4,340",-295,"28,324",422,"17,379",73,"28,696",289,Current,Musical,0.85%
Come From Away,4/2,"73,705",369,"4,635","-1,447","27,902",399,"17,306",141,"28,407",348,Current,Musical,0.72%
Come From Away,3/26,"73,336",961,"6,082",-791,"27,503",311,"17,165",138,"28,059",353,Current,Musical,1.24%
Come From Away,3/19,"72,375",564,"6,873","1,582","27,192",414,"17,027",170,"27,706",505,Current,Musical,1.07%
Come From Away,3/12,"71,811",447,"5,291",356,"26,778",476,"16,857",153,"27,201",513,Current,Musical,0.97%
Come From Away,3/5,"71,364",440,"4,935","2,428","26,302",483,"16,704",101,"26,688",307,Current,Musical,0.74%
Come From Away,2/26,"70,924",443,"2,507","-1,244","25,819",500,"16,603",86,"26,381",323,Current,Musical,0.75%
Come From Away,2/19,"70,481",460,"3,751",79,"25,319",436,"16,517",121,"26,058",388,Current,Musical,0.86%
Come From Away,2/12,"70,021",469,"3,672","-1,569","24,883",511,"16,396",141,"25,670",256,Current,Musical,0.78%
Come From Away,2/5,"69,552",556,"5,241","1,328","24,372",517,"16,255",153,"25,414",449,Current,Musical,1.05%
Come From Away,1/29,"68,996",461,"3,913",-184,"23,855",524,"16,102",227,"24,965",540,Current,Musical,1.13%
Come From Away,1/22,"68,535",467,"4,097",365,"23,331",479,"15,875",231,"24,425",329,Current,Musical,0.95%
Come From Away,1/15,"68,068",516,"3,732","-1,873","22,852",465,"15,644",411,"24,096",382,Current,Musical,1.23%
Come From Away,1/8,"67,552",475,"5,605",91,"22,387",420,"15,233",105,"23,714",385,Current,Musical,0.91%
Come From Away,1/2,"67,077",751,"5,514",534,"21,967",373,"15,128",100,"23,329",279,Current,Musical,1.08%
Come From Away,12/26,"66,326","1,090","4,980","-2,081","21,594",406,"15,028",112,"23,050",324,Current,Musical,1.48%
Come From Away,12/18,"65,236",866,"7,061","3,278","21,188",407,"14,916",91,"22,726",245,Current,Musical,1.18%
Come From Away,12/11,"64,370",851,"3,783","-3,281","20,781",413,"14,825",110,"22,481",337,Current,Musical,1.29%
Come From Away,12/4,"63,519",894,"7,064","1,481","20,368",394,"14,715",210,"22,144",459,Current,Musical,1.58%
Come From Away,11/27,"62,625",947,"5,583","-8,168","19,974",358,"14,505",164,"21,685",495,Current,Musical,1.65%
Come From Away,11/20,"61,678",955,"13,751","7,675","19,616",340,"14,341",185,"21,190",452,Current,Musical,1.66%
Come From Away,11/13,"60,723",874,"6,076","2,368","19,276",466,"14,156",103,"20,738",283,Current,Musical,1.34%
Come From Away,11/6,"59,849",944,"3,708","-1,733","18,810",362,"14,053",124,"20,455",446,Current,Musical,1.63%
Come From Away,10/30,"58,905",916,"5,441",697,"18,448",346,"13,929",87,"20,009",291,Current,Musical,1.41%
Come From Away,10/23,"57,989",985,"4,744",293,"18,102",506,"13,842",114,"19,718",246,Current,Musical,1.49%
Come From Away,10/16,"57,004",946,"4,451","-1,190","17,596",384,"13,728",125,"19,472",244,Current,Musical,1.48%
Come From Away,10/9,"56,058",772,"5,641",684,"17,212",463,"13,603",95,"19,228",281,Current,Musical,1.31%
Come From Away,10/2,"55,286",746,"4,957","-1,264","16,749",443,"13,508",175,"18,947",347,Current,Musical,1.47%
Come From Away,9/25,"54,540",674,"6,221","-2,562","16,306",474,"13,333",142,"18,600",338,Current,Musical,1.35%
Come From Away,9/18,"53,866",990,"8,783","1,204","15,832",409,"13,191",258,"18,262",476,Current,Musical,2.06%
Come From Away,9/11,"52,876","1,000","7,579","-1,014","15,423",397,"12,933",168,"17,786",403,Current,Musical,1.92%
Come From Away,9/4,"51,876","1,171","8,593","-1,200","15,026",476,"12,765",177,"17,383",409,Current,Musical,2.19%
Come From Away,8/28,"50,705",957,"9,793","3,253","14,550",543,"12,588",238,"16,974",552,Current,Musical,2.22%
Come From Away,8/21,"49,748",820,"6,540",-899,"14,007",516,"12,350",173,"16,422",740,Current,Musical,2.26%
Come From Away,8/14,"48,928",875,"7,439","2,526","13,491",555,"12,177",175,"15,682",609,Current,Musical,2.21%
Come From Away,8/7,"48,053","1,085","4,913",-584,"12,936",441,"12,002",181,"15,073",413,Current,Musical,2.29%
Come From Away,7/31,"46,968",826,"5,497","-1,393","12,495",504,"11,821",219,"14,660",446,Current,Musical,2.07%
Come From Away,7/24,"46,142",963,"6,890","-1,215","11,991",527,"11,602",258,"14,214",488,Current,Musical,2.43%
Come From Away,7/17,"45,179","1,486","8,105",-631,"11,464",531,"11,344",229,"13,726",567,Current,Musical,3.36%
Come From Away,7/9,"43,693","1,831","8,736","-1,768","10,933",623,"11,115",484,"13,159","1,133",Current,Musical,5.34%
Come From Away,7/2,"41,862","1,791","10,504",476,"10,310",517,"10,631",372,"12,026",571,Current,Musical,4.43%
Come From Away,6/25,"40,071",809,"10,028","-1,831","9,793",271,"10,259",248,"11,455",456,Current,Musical,2.51%
Company,9/29,"5,907",51,939,-46,"4,181",-2,"7,682",14,"12,021",99,Upcoming,Musical,0.64%
Company,9/22,"5,856",96,985,-724,"4,183",-1,"7,668",18,"11,922",117,Upcoming,Musical,0.92%
Company,9/15,"5,760",0,"1,709",0,"4,184",0,"7,650",0,"11,805",0,Upcoming,Musical,0%
Cursed Child,9/29,"1,210,961",408,"6,841","-2,099",0,0,"38,989",319,"159,011",845,Current,Play,0.11%
Cursed Child,9/22,"1,210,553",62,"8,940","-2,789",0,0,"38,670",249,"158,166","1,496",Current,Play,0.13%
Cursed Child,9/15,"1,210,491",811,"11,729","-9,728",0,0,"38,421","1,912","156,670","2,479",Current,Play,0.37%
Cursed Child,9/8,"1,209,680","2,885","21,457","18,830",0,0,"36,509",0,"154,191","8,610",Current,Play,0.83%
Cursed Child,9/1,"1,206,795",-52,"2,627",-632,0,0,"36,509",291,"145,581","1,376",Current,Play,0.12%
Cursed Child,8/25,"1,206,847",339,"3,259","-1,166",0,"-206,400","36,218",166,"144,205",971,Current,Play,0.11%
Cursed Child,8/18,"1,206,508",0,"4,425","1,362","206,400",625,"36,052",102,"143,234",727,Current,Play,0.06%
Cursed Child,8/11,"1,206,508",-149,"3,063",632,"205,775",731,"35,950",82,"142,507",568,Current,Play,0.04%
Cursed Child,8/4,"1,206,657",130,"2,431",235,"205,044",692,"35,868",170,"141,939",886,Current,Play,0.09%
Cursed Child,7/28,"1,206,527",55,"2,196",-427,"204,352",701,"35,698",123,"141,053",537,Current,Play,0.05%
Cursed Child,7/22,"1,206,472",11,"2,623",971,"203,651",712,"35,575",141,"140,516",725,Current,Play,0.06%
Cursed Child,7/14,"1,206,461",-26,"1,652","-1,474","202,939",683,"35,434",107,"139,791",767,Current,Play,0.06%
Cursed Child,7/7,"1,206,487",51,"3,126",319,"202,256",710,"35,327",87,"139,024",602,Current,Play,0.05%
Cursed Child,6/30,"1,206,436","2,302","2,807",-418,"201,546",693,"35,240",85,"138,422",679,Current,Play,0.22%
Cursed Child,6/23,"1,204,134","3,756","3,225",551,"200,853",670,"35,155",64,"137,743",705,Current,Play,0.33%
Cursed Child,6/16,"1,200,378",74,"2,674",143,"200,183",553,"35,091",91,"137,038",557,Current,Play,0.05%
Cursed Child,6/9,"1,200,304",101,"2,531",318,"199,630",651,"35,000",93,"136,481",629,Current,Play,0.06%
Cursed Child,6/2,"1,200,203","1,338","2,213",-571,"198,979",649,"34,907",83,"135,852",368,Current,Play,0.13%
Cursed Child,5/26,"1,198,865",-558,"2,784",-840,"198,330",423,"34,824",114,"135,484","1,134",Current,Play,0.05%
Cursed Child,5/19,"1,199,423",48,"3,624","1,978","197,907",784,"34,710",118,"134,350","1,068",Current,Play,0.09%
Cursed Child,5/12,"1,199,375",238,"1,646","-1,996","197,123",751,"34,592",92,"133,282","1,283",Current,Play,0.12%
Cursed Child,5/5,"1,199,137",611,"3,642","3,642","196,372",808,"34,500",64,"131,999",786,Current,Play,0.11%
Cursed Child,4/28,"1,198,526",419,0,0,"195,564",742,"34,436",78,"131,213",966,Current,Play,0.11%
Cursed Child,4/21,"1,198,107",122,0,0,"194,822",766,"34,358",61,"130,247",636,Current,Play,0.06%
Cursed Child,4/14,"1,197,985",118,0,"-3,434","194,056",878,"34,297",31,"129,611",892,Current,Play,0.08%
Cursed Child,4/7,"1,197,867",-28,"3,434",289,"193,178",875,"34,266",66,"128,719","1,209",Current,Play,0.09%
Cursed Child,3/31,"1,197,895",793,"3,145",-42,"192,303",846,"34,200",212,"127,510","1,523",Current,Play,0.19%
Cursed Child,3/24,"1,197,102","1,693","3,187",-845,"191,457",837,"33,988",344,"125,987","1,287",Current,Play,0.25%
Cursed Child,3/17,"1,195,409","1,618","4,032",-58,"190,620",861,"33,644",54,"124,700",891,Current,Play,0.19%
Cursed Child,3/10,"1,193,791",219,"4,090","2,208","189,759",875,"33,590",18,"123,809",238,Current,Play,0.04%
Cursed Child,3/3,"1,193,572",316,"1,882",-276,"188,884",865,"33,572",8,"123,571",400,Current,Play,0.05%
Cursed Child,2/24,"1,193,256",612,"2,158",383,"188,019","1,122","33,564",100,"123,171","1,345",Current,Play,0.15%
Cursed Child,2/17,"1,192,644",190,"1,775",141,"186,897",970,"33,464",28,"121,826",636,Current,Play,0.06%
Cursed Child,2/10,"1,192,454",676,"1,634",-891,"185,927",971,"33,436",-14,"121,190",899,Current,Play,0.12%
Cursed Child,2/3,"1,191,778","1,469","2,525",-240,"184,956",999,"33,450",17,"120,291",504,Current,Play,0.15%
Cursed Child,1/27,"1,190,309",-295,"2,765",220,"183,957",890,"33,433",18,"119,787",297,Current,Play,0%
Cursed Child,1/20,"1,190,604","1,548","2,545",843,"183,067",983,"33,415",16,"119,490","1,029",Current,Play,0.19%
Cursed Child,1/13,"1,189,056",468,"1,702","-1,397","182,084",920,"33,399",50,"118,461",657,Current,Play,0.09%
Cursed Child,1/6,"1,188,588",27,"3,099","1,003","181,164",694,"33,349",45,"117,804",491,Current,Play,0.04%
Cursed Child,12/30,"1,188,561",33,"2,096","-2,918","180,470","2,725","33,304",156,"117,313","3,711",Current,Play,0.29%
Cursed Child,12/10,"1,188,528",892,"5,014",426,"177,745",840,"33,148",72,"113,602","1,876",Current,Play,0.21%
Cursed Child,12/3,"1,187,636",-340,"4,588","-2,077","176,905",859,"33,076",191,"111,726","2,242",Current,Play,0.16%
Cursed Child,11/26,"1,187,976",712,"6,665","1,859","176,046",916,"32,885",81,"109,484","3,424",Current,Play,0.32%
Cursed Child,11/18,"1,187,264",529,"4,806","-6,887","175,130",838,"32,804",140,"106,060","2,603",Current,Play,0.25%
