week_ending,show,this_week_gross,diff_in_dollars,avg_ticket_price,seats_sold,perfs,percent_of_cap,diff_percent_of_cap
1985-07-21,The Tap Dance Kid,"$151,474.00","$24,266.00",$27.34,5540,8,42.72%,6.79%
1985-07-14,42nd Street,"$252,046.00","$16,361.00",$29.29,8606,8,65.00%,2.40%
1985-07-14,A Chorus Line,"$192,005.00","$8,650.00",$29.30,6552,8,55.64%,3.13%
1985-07-14,Aren't We All?,"$213,901.00","$35,949.00",$31.77,6732,8,77.34%,8.95%
1985-07-14,Arms and the Man,"$61,130.00","-$18,585.00",$20.73,2949,8,54.05%,-17.61%
1985-07-14,As Is,"$74,784.00",-$291.00,$17.08,4379,8,80.03%,3.09%
1985-07-14,Big River,"$285,309.00","$17,974.00",$34.93,8169,8,100.31%,3.63%
1985-07-14,Biloxi Blues,"$288,929.00","$12,387.00",$27.86,10369,8,97.02%,14.92%
1985-07-14,Brighton Beach Memoirs,"$94,826.00","-$1,107.00",$18.58,5103,8,46.63%,-1.49%
1985-07-14,Cats,"$470,452.00","-$1,004.00",$39.14,12020,8,101.38%,-0.42%
1985-07-14,Doubles,"$61,308.00","$1,104.00",$17.43,3517,8,88.10%,-2.46%
1985-07-14,La Cage aux Folles,"$402,772.00","$10,223.00",$34.42,11700,8,86.90%,1.49%
1985-07-14,Leader of the Pack,"$94,973.00","$13,669.00",$19.58,4851,8,55.99%,8.40%
1985-07-14,Oh! Calcutta!,"$31,947.00",-$351.00,$14.22,2247,9,50.03%,-0.49%
1985-07-14,Singin' in the Rain,"$135,628.00","$26,090.00",$29.91,4535,8,29.33%,6.18%
1985-07-14,Sunday in the Park with George,"$122,045.00","-$4,356.00",$26.60,4588,8,74.38%,-10.70%
1985-07-14,The Odd Couple,"$163,507.00","$21,932.00",$23.03,7100,8,75.15%,7.56%
1985-07-14,The Tap Dance Kid,"$127,208.00","$5,073.00",$27.30,4659,8,35.93%,0.97%
1985-07-07,42nd Street,"$235,685.00","-$57,156.00",$28.44,8288,8,62.60%,-12.60%
1985-07-07,A Chorus Line,"$183,355.00","-$47,117.00",$29.65,6184,8,52.51%,-14.07%
1985-07-07,Aren't We All?,"$177,952.00","-$32,668.00",$29.89,5953,8,68.39%,-7.80%
1985-07-07,Arms and the Man,"$79,715.00","-$14,831.00",$20.39,3910,8,71.66%,-15.16%
1985-07-07,As Is,"$75,075.00","-$4,249.00",$17.83,4210,8,76.94%,3.02%
1985-07-07,Big River,"$267,335.00","-$25,343.00",$33.95,7874,8,96.68%,-4.07%
1985-07-07,Biloxi Blues,"$276,542.00","-$31,971.00",$31.51,8775,8,82.10%,-21.22%
1985-07-07,Brighton Beach Memoirs,"$95,933.00","-$27,982.00",$18.22,5266,8,48.12%,-10.55%
1985-07-07,Cats,"$471,456.00","$6,445.00",$39.06,12069,8,101.80%,0.66%
1985-07-07,Doubles,"$60,204.00","-$8,980.00",$16.65,3615,8,90.56%,-1.12%
1985-07-07,La Cage aux Folles,"$392,549.00","-$21,903.00",$34.13,11500,8,85.41%,-4.15%
1985-07-07,Leader of the Pack,"$81,304.00","-$34,363.00",$19.72,4123,8,47.59%,-5.43%
1985-07-07,Oh! Calcutta!,"$32,298.00",-$948.00,$14.23,2269,9,50.52%,-1.54%
1985-07-07,Singin' in the Rain,"$109,538.00","-$48,594.00",$30.60,3580,7,23.15%,-12.84%
1985-07-07,Sunday in the Park with George,"$126,401.00","-$21,150.00",$24.09,5248,8,85.08%,-11.63%
1985-07-07,The Odd Couple,"$141,575.00","-$27,053.00",$22.17,6386,8,67.59%,-1.47%
1985-07-07,The Tap Dance Kid,"$122,135.00","-$54,181.00",$26.94,4534,8,34.96%,-14.55%
1985-06-30,42nd Street,"$292,841.00","-$3,597.00",$29.41,9957,8,75.20%,1.20%
1985-06-30,A Chorus Line,"$230,472.00","$2,046.00",$29.39,7841,8,66.58%,-2.17%
1985-06-30,Aren't We All?,"$210,620.00","$3,328.00",$31.76,6632,8,76.19%,2.94%
1985-06-30,Arms and the Man,"$94,546.00","$2,281.00",$19.96,4737,8,86.82%,2.84%
1985-06-30,As Is,"$79,324.00","$8,577.00",$19.61,4045,8,73.92%,5.41%
1985-06-30,Big River,"$292,678.00","$19,085.00",$35.67,8205,8,100.75%,1.65%
1985-06-30,Biloxi Blues,"$308,513.00","-$3,371.00",$27.94,11043,8,103.32%,0.56%
1985-06-30,Brighton Beach Memoirs,"$123,915.00","$2,816.00",$19.30,6421,8,58.67%,0.27%
1985-06-30,Cats,"$465,011.00","$1,971.00",$38.78,11991,8,101.14%,-0.38%
1985-06-30,Doubles,"$69,184.00","$2,875.00",$18.90,3660,8,91.68%,3.53%
1985-06-30,La Cage aux Folles,"$414,452.00","-$12,141.00",$34.37,12058,8,89.56%,-0.52%
1985-06-30,Leader of the Pack,"$115,667.00","-$7,055.00",$25.18,4594,8,53.02%,-5.73%
1985-06-30,Oh! Calcutta!,"$33,246.00","-$1,862.00",$14.22,2338,9,52.06%,-2.87%
1985-06-30,Singin' in the Rain,"$158,132.00","$17,180.00",$28.41,5566,0,35.99%,-5.53%
1985-06-30,Sunday in the Park with George,"$147,551.00","-$6,402.00",$24.74,5965,8,96.71%,13.88%
1985-06-30,The King and I,"$605,546.00","$287,372.00",$43.78,13833,8,97.97%,7.04%
1985-06-30,The Odd Couple,"$168,628.00","-$15,807.00",$25.84,6525,8,69.06%,-6.14%
1985-06-30,The Tap Dance Kid,"$176,316.00",-$896.00,$27.46,6421,8,49.51%,-1.27%
1985-06-23,42nd Street,"$296,438.00","-$4,979.00",$30.26,9797,8,74.00%,-3.27%
1985-06-23,A Chorus Line,"$228,426.00","$9,222.00",$28.21,8096,8,68.75%,1.51%
1985-06-23,Aren't We All?,"$207,292.00","$3,298.00",$32.51,6376,8,73.25%,0.97%
1985-06-23,Arms and the Man,"$92,265.00","-$2,066.00",$20.14,4582,8,83.98%,-1.60%
1985-06-23,As Is,"$70,747.00","$4,374.00",$18.87,3749,8,68.51%,8.42%
1985-06-23,Big River,"$273,593.00","$9,346.00",$33.90,8071,8,99.10%,1.46%
1985-06-23,Biloxi Blues,"$311,884.00","$1,872.00",$28.40,10983,8,102.76%,0.41%
1985-06-23,Brighton Beach Memoirs,"$121,099.00","$13,643.00",$18.95,6391,8,58.40%,-1.14%
1985-06-23,Cats,"$463,040.00","$4,687.00",$38.47,12036,8,101.52%,0.06%
1985-06-23,Doubles,"$66,309.00","$10,532.00",$18.84,3519,8,88.15%,9.84%
1985-06-23,La Cage aux Folles,"$426,593.00","$13,477.00",$35.17,12128,8,90.08%,0.90%
1985-06-23,Leader of the Pack,"$122,722.00","-$1,030.00",$24.11,5090,8,58.75%,1.09%
1985-06-23,Oh! Calcutta!,"$35,108.00","$1,218.00",$14.23,2467,9,54.93%,-4.76%
1985-06-23,Singin' in the Rain,"$140,952.00","-$94,736.00",$29.27,4816,0,41.52%,-14.91%
1985-06-23,Sunday in the Park with George,"$153,953.00","-$3,027.00",$30.13,5109,8,82.83%,-0.55%
1985-06-23,The King and I,"$318,174.00","$140,278.00",$39.65,8025,5,90.93%,25.15%
1985-06-23,The Odd Couple,"$184,435.00","$42,033.00",$25.96,7105,8,75.20%,16.93%
1985-06-23,The Tap Dance Kid,"$177,212.00","$3,170.00",$26.91,6585,8,50.78%,1.68%
1985-06-16,42nd Street,"$301,417.00","$19,049.00",$29.46,10231,8,77.27%,7.17%
1985-06-16,A Chorus Line,"$219,204.00","-$3,380.00",$27.68,7918,8,67.24%,-2.11%
1985-06-16,Aren't We All?,"$203,994.00","-$45,278.00",$32.43,6291,8,72.28%,-12.58%
1985-06-16,Arms and the Man,"$94,331.00","-$1,357.00",$20.20,4669,8,85.58%,1.53%
1985-06-16,As Is,"$66,373.00","$5,314.00",$20.19,3288,8,60.09%,6.40%
1985-06-16,Big River,"$264,247.00","$8,861.00",$33.23,7952,8,97.64%,-0.49%
1985-06-16,Biloxi Blues,"$310,012.00","$3,173.00",$28.34,10939,8,102.35%,1.01%
1985-06-16,Brighton Beach Memoirs,"$107,456.00",$64.00,$16.49,6516,8,59.54%,7.71%
1985-06-16,Cats,"$458,353.00","-$3,527.00",$38.10,12029,8,101.46%,-0.12%
1985-06-16,Doubles,"$55,777.00","$8,325.00",$17.84,3126,8,78.31%,10.45%
1985-06-16,Grind,"$146,812.00","-$42,441.00",$29.82,4924,8,38.69%,-6.89%
