week_ending,show,this_week_gross,diff_in_dollars,avg_ticket_price,seats_sold,perfs,percent_of_cap,diff_percent_of_cap
2019-07-28,The Cher Show,799337.5,16307.5,92.13,8676,8,0.7859,0.0562
2019-07-28,Wicked,2076615.0,158822.0,127.13,16334,9,0.9758,-0.01
2019-07-28,The Phantom of the Opera,1108077.68,-13023.42,90.42,12255,8,0.9544,-0.0033
2019-07-28,The Prom,735823.27,-1549.88,93.97,7830,8,0.9366,-0.0037
2019-07-28,To Kill A Mockingbird,2000537.48,30605.49,171.23,11683,8,1.0177,-0.0005
2019-07-28,Tootsie,887369.5,-60356.2,93.84,9456,8,0.7378,-0.0213
2019-07-28,Waitress,602372.0,-25786.5,90.01,6692,8,0.8005,-0.0312
2019-07-28,What the Constitution Means to Me,540911.3,3910.5,116.3,4651,8,0.9972,-0.0011
2019-07-28,Mean Girls,1068058.4,-15217.35,108.05,9885,8,1.0087,-0.0009
2019-07-28,Hadestown,1344592.5,32544.5,180.6,7445,8,1.0138,0.0
2019-07-28,King Kong,775856.25,9764.0,69.68,11134,8,0.8008,0.0202
2019-07-28,Chicago,665236.2,23710.05,85.33,7796,8,0.9023,0.0352
2019-07-28,Ain't Too Proud¡ªThe Life and Times of the Temptations,1526426.6,-33498.4,134.3,11366,8,0.9977,-0.0009
2019-07-28,Aladdin,1621511.0,-174492.0,121.38,13359,8,0.9669,-0.002
2019-07-28,Be More Chill,561392.85,98807.95,91.4,6142,8,0.8617,0.1066
2019-07-28,"Harry Potter and the Cursed Child, Parts One and Two",1422375.0,20702.5,109.62,12976,8,1.0,0.0
2019-07-28,Beetlejuice,1048493.05,12159.75,92.57,11326,8,0.9483,0.0109
2019-07-28,Beautiful: The Carole King Musical,519930.8,8905.4,85.9,6053,8,0.7375,-0.0024
2019-07-28,Come From Away,901618.52,-11055.88,105.71,8529,8,1.0192,-0.0012
2019-07-28,Dear Evan Hansen,1235847.54,4047.4,154.58,7995,8,1.0156,-0.0004
2019-07-28,Frankie and Johnny in the Clair de Lune,352134.5,40969.5,54.27,6488,8,0.6973,0.2317
2019-07-28,Frozen,1311470.0,28529.5,102.51,12793,8,0.9496,-0.0197
2019-07-28,Hamilton,3068812.0,-33494.0,285.26,10758,8,1.018,0.0
2019-07-21,The Phantom of the Opera,1121101.1,177591.4,91.17,12297,8,0.9577,-0.0016
2019-07-21,Moulin Rouge! The Musical!,1724491.5,235415.5,188.92,9128,0,1.0015,-0.0002
2019-07-21,Oklahoma!,584810.5,81849.38,117.57,4974,8,0.9551,-0.005
2019-07-21,Pretty Woman: The Musical,659450.0,101035.0,87.22,7561,8,0.8092,0.0149
2019-07-21,The Book of Mormon,1065743.1,172154.25,122.34,8711,8,1.04,0.0007
2019-07-21,The Cher Show,783030.0,83460.5,97.2,8056,8,0.7297,-0.0235
2019-07-21,The Lion King,2538151.0,143615.0,187.3,13551,8,0.9987,0.0583
2019-07-21,Wicked,1917793.0,343030.0,126.26,15189,8,0.9858,0.0068
2019-07-21,The Prom,737373.15,115730.0,93.8,7861,8,0.9403,-0.0009
2019-07-21,To Kill A Mockingbird,1969931.99,269550.27,168.53,11689,8,1.0182,0.0008
2019-07-21,Tootsie,947725.7,112103.1,97.41,9729,8,0.7591,0.035
2019-07-21,Waitress,628158.5,179052.0,90.34,6953,8,0.8317,0.1196
2019-07-21,What the Constitution Means to Me,537000.8,82942.2,115.34,4656,8,0.9983,0.0052
2019-07-21,King Kong,766092.25,139977.75,70.59,10853,8,0.7806,0.0328
2019-07-21,Mean Girls,1083275.75,177163.75,109.49,9894,8,1.0096,0.0014
2019-07-21,Ain't Too Proud¡ªThe Life and Times of the Temptations,1559925.0,253645.08,137.12,11376,8,0.9986,0.0067
2019-07-21,"Harry Potter and the Cursed Child, Parts One and Two",1401672.5,191794.5,108.02,12976,8,1.0,0.0
2019-07-21,Come From Away,912674.4,124997.26,106.88,8539,8,1.0204,0.0002
2019-07-21,Hamilton,3102306.0,428136.0,288.37,10758,8,1.018,0.0002
2019-07-21,Aladdin,1796003.0,383816.5,119.26,15060,9,0.9689,-0.0098
2019-07-21,Be More Chill,462584.9,17781.6,85.95,5382,8,0.7551,0.0382
2019-07-21,Beetlejuice,1036333.3,42478.5,92.56,11196,8,0.9374,0.0155
2019-07-21,Chicago,641526.15,21297.52,85.63,7492,8,0.8671,-0.0604
2019-07-21,Beautiful: The Carole King Musical,511025.4,-8116.6,84.15,6073,8,0.7399,-0.0004
2019-07-21,Dave Chappelle Live on Broadway,1638061.0,206610.0,181.26,7537,6,1.0014,0.0247
2019-07-21,Dear Evan Hansen,1231800.14,167615.46,154.01,7998,8,1.016,0.0003
2019-07-21,Frankie and Johnny in the Clair de Lune,311165.0,49809.5,71.83,4332,8,0.4656,0.0207
2019-07-21,Frozen,1282940.5,104196.4,98.25,13058,8,0.9693,-0.0048
2019-07-21,Hadestown,1312048.0,196609.5,176.23,7445,8,1.0138,0.0006
2019-07-14,The Lion King,2394536.0,-186367.0,187.67,12759,8,0.9404,-0.056
2019-07-14,Mean Girls,906112.0,-133067.35,104.81,8645,7,1.0082,0.0062
