show,total_rating,critics_rating,readers_rating
Oba Oba '90,,,
Miss Margarida's Way,,,
A Christmas Carol,,,
Catskills on Broadway,,,
Dancing at Lughnasa,,,
Lost in Yonkers,,,
Miss Saigon,6.26,6.94,5.59
On Borrowed Time,,,
Park Your Car in Harvard Yard,,,
The Crucible,6.30,7.23,5.38
The Secret Garden,,,
The Will Rogers Follies,,,
Two Shakespearean Actors,,,
Nick & Nora,,,
The Homecoming,,,
Moscow Circus - Cirk Valentin,,,
Andr,,,
Getting Married,,,
Penn & Teller: The Refrigerator Tour,,,
I Hate Hamlet,,,
Our Country's Good,,,
Lucifer's Child,,,
Taking Sides,,,
Mule Bone,,,
The Big Love,,,
The Speed of Darkness,,,
La B,,,
3 from Brooklyn,,,
Anna Christie,,,
Conversations with My Father,,,
Crazy for You,0.50,0.00,1.00
Falsettos,6.58,8.32,4.85
Five Guys Named Moe,,,
Guys and Dolls,,,
Gypsy Passion,,,
Jelly's Last Jam,,,
My Favorite Year,,,
Someone Who'll Watch Over Me,,,
The Seagull,,,
Tommy Tune Tonite!,,,
The Show Off,,,
Solitary Confinement,,,
Jake's Women,,,
Anna Karenina,,,
The Real Inspector Hound and the Fifteen Minute Hamlet,,,
The Most Happy Fella,,,
Two Trains Running,,,
Chinese Coffee,,,
Death and the Maiden,,,
Man of La Mancha,,,
The Price,6.63,7.50,5.75
A Small Family Business,,,
Hamlet,,,
The High Rollers Social and Pleasure Club,,,
Metro,,,
Shimada,,,
The Master Builder,,,
Four Baboons Adoring the Sun,,,
Search and Destroy,,,
Private Lives,6.39,6.79,6.00
A Little Hotel on the Side,,,
The Visit,6.86,7.58,6.15
Crazy He Calls Me,,,
A Grand Night for Singing,,,
Abe Lincoln in Illinois,,,
Blood Brothers,,,
Cyrano - The Musical,,,
Gray's Anatomy,,,
Joseph and the Amazing Technicolor Dreamcoat,,,
Kiss of the Spider Woman,,,
Laughter on the 23rd Floor,,,
My Fair Lady,6.38,8.69,4.07
Shakespeare for My Father,,,
She Loves Me,7.25,8.35,6.15
The Government Inspector,,,
The Sisters Rosensweig,,,
The Who's Tommy,,,
The Red Shoes,,,
Any Given Day,,,
The Kentucky Cycle,,,
Timon of Athens,,,
Mixed Emotions,,,
The Twilight of the Golds,,,
Wonderful Tennessee,,,
Fool Moon,,,
In the Summer House,,,
The Goodbye Girl,,,
Camelot,,,
Three Men on a Horse,,,
"Wilder, Wilder, Wilder",,,
Ain't Broadway Grand,,,
The Song of Jacob Zulu,,,
Candida,,,
Redwood Curtain,,,
Tango Pasion,,,
Raffi,,,
Face Value,,,
Saint Joan,5.47,7.17,3.77
The Boys Choir of Harlem and Friends,,,
A Tuna Christmas,,,
An Inspector Calls,,,
Beauty and the Beast,,,
Carousel,5.14,7.20,3.07
Comedy Tonight,,,
Damn Yankees,2.75,0.00,5.50
Grease,,,
Passion,,,
Show Boat,,,
Sunset Boulevard,7.11,7.94,6.27
"The Flying Karamazov Brothers ""Do the Impossible""",,,
The Glass Menagerie,6.50,7.53,5.47
The Shadow Box,,,
What's Wrong with This Picture,,,
Jackie Mason: Politically Incorrect,,,
Basia on Broadway,,,
"Philadelphia, Here I Come!",,,
Hedda Gabler,,,
Broken Glass,,,
Ian McKellen: A Knight Out at the Lyceum,,,
Medea,,,
Sally Marr...and Her Escorts,,,
"Twilight: Los Angeles, 1992",,,
Picnic,5.47,6.75,4.20
The Best Little Whorehouse Goes Public,,,
The Rise and Fall of Little Voice,,,
The Flowering Peach,,,
A Little More Magic,,,
No Man's Land,7.36,7.93,6.79
Having Our Say,,,
"Hello, Dolly!",,,
Holiday,,,
How to Succeed in Business Without Really Trying,7.23,6.96,7.50
Master Class,6.31,7.75,4.86
Moon Over Buffalo,,,
Racing Demon,,,
Rob Becker's Defending the Caveman,,,
Smokey Joe's Cafe,0.00,0.00,
Swinging on a Star,,,
The Father,6.89,7.44,6.34
The Heiress,6.75,8.19,5.32
The Tempest,,,
Victor / Victoria,,,
The School for Scandal,,,
Company,,,
Patti LuPone on Broadway,,,
Sacrilege,,,
Danny Gans on Broadway: The Man of Many Voices,,,
Indiscretions,,,
Love! Valour! Compassion!,,,
Arcadia,6.21,7.00,5.42
The Play's the Thing,,,
Buttons on Broadway,,,
Chronicle of a Death Foretold,,,
A Month in the Country,,,
My Thing of Love,,,
On the Waterfront,,,
Gentlemen Prefer Blondes,,,
Translations,,,
The Marriage of Kitty,,,
Uncle Vanya,,,
A Funny Thing Happened on the Way to the Forum,,,
An Ideal Husband,,,
"Bring in 'da Noise, Bring in 'da Funk",,,
David Copperfield: Dreams and Nightmares,,,
It's a Slippery Slope,,,
Juan Darien,,,
Love Thy Neighbor,,,
Once Upon a Mattress,,,
Present Laughter,6.57,7.67,5.48
Rent,,,
Skylight,6.51,8.08,4.95
The Rehearsal,,,
"Julia Sweeney's God Said ""Ha!""",,,
Sex and Longing,,,
Hughie,5.99,6.40,5.58
Summer and Smoke,,,
Big,,,
A Delicate Balance,6.18,7.24,5.12
Seven Guitars,,,
A Thousand Clowns,,,
Buried Child,,,
State Fair,,,
Tartuffe,,,
A Midsummer Night's Dream,,,
Inherit the Wind,,,
Jack: A Night on the Town with John Barrymore,,,
The Apple Doesn't Fall...,,,
Getting Away with Murder,,,
Bus Stop,,,
1776,,,
A View from the Bridge,6.26,8.19,4.32
Forever Tango,5.81,6.60,5.02
Ivanov,,,
Jackie,,,
Jekyll & Hyde,4.00,4.63,3.38
Proposals,,,
Ragtime,,,
Side Show,7.12,7.88,6.36
Street Corner Symphony,,,
The Capeman,,,
The Diary of Anne Frank,,,
The Last Night of Ballyhoo,,,
The Life,,,
The Old Neighborhood,,,
The Scarlet Pimpernel,,,
The Sunshine Boys,,,
Titanic,,,
Triumph of Love,,,
Eugene Onegin,,,
The Cherry Orchard,4.99,5.43,4.55
Barrymore,,,
Annie,6.84,7.57,6.10
Twelfth Night,7.56,9.00,6.11
A Doll's House,,,
The Gin Game,6.54,7.21,5.86
Candide,,,
Dream,,,
An American Daughter,,,
London Assurance,,,
Steel Pier,,,
The Little Foxes,6.60,8.38,4.83
The Young Man from Atlanta,,,
King David,,,
Play On!,,,
Stanley,,,
The Three Sisters,,,
Mandy Patinkin in Concert,,,
"Men Are from Mars, Women Are from Venus",,,
Art,,,
Electra,,,
Footloose,,,
Fosse,,,
I'm Still Here...Damn It!,,,
Little Me,,,
On the Town,7.60,8.47,6.72
Parade,,,
Side Man,,,
Swan Lake,,,
The Beauty Queen of Leenane,,,
The Blue Room,,,
The Sound of Music,,,
Getting and Spending,,,
Aznavour,,,
A Mom's Life,,,
"Mandy Patinkin in Concert: ""Mamaloshen""",,,
More to Love,,,
Colin Quinn -- An Irish Wake,,,
High Society,,,
An Evening with Jerry Herman,,,
Jerry Seinfeld: Live on Broadway,,,
The Judas Kiss,,,
Freak,,,
Wait Until Dark,,,
Honour,,,
The Chairs,,,
Golden Child,,,
The Deep Blue Sea,,,
"Ah, Wilderness!",,,
The Herbal Bed,,,
Patti LaBelle on Broadway,,,
Amadeus,,,
Annie Get Your Gun,,,
Dame Edna: The Royal Tour,,,
It Ain't Nothin' But the Blues,,,
James Joyce's The Dead,,,
Kat and the Kings,,,
"Kiss Me, Kate",,,
Marie Christine,,,
Minnelli on Minnelli,,,
"Morning, Noon and Night",,,
Much Ado About Everything,,,
Putting It Together,,,
Saturday Night Fever,,,
Swing!,,,
The Rainmaker,,,
Waiting in the Wings,,,
Epic Proportions,,,
The Weir,,,
Death of a Salesman,7.15,8.18,6.12
Voices in the Dark,,,
Closer,,,
Amy's View,,,
Night Must Fall,,,
Ring Round the Moon,,,
Not About Nightingales,,,
The Civil War,,,
The Lonesome West,,,
Via Dolorosa,,,
"You're a Good Man, Charlie Brown",,,
The Lion in Winter,,,
The Gershwins' Fascinating Rhythm,,,
Marlene,,,
Band in Berlin,,,
Aida,,,
Contact,,,
Copenhagen,,,
Dirty Blonde,,,
Jane Eyre,,,
Proof,,,
Riverdance - on Broadway,,,
Seussical,,,
The Best Man,,,
The Dinner Party,,,
The Full Monty,,,
The Music Man,,,
The Rocky Horror Show,,,
The Tale of the Allergist's Wife,,,
Matters of the Heart,,,
The Man Who Came to Dinner,,,
Jesus Christ Superstar,6.33,7.20,5.47
The Real Thing,6.34,6.95,5.73
True West,4.32,6.86,1.78
The Ride Down Mt. Morgan,,,
A Moon for the Misbegotten,,,
Taller Than a Dwarf,,,
The Wild Party,,,
The Green Bird,,,
Rose,,,
Squonk,,,
Wrong Mountain,,,
45 Seconds from Broadway,,,
By Jeeves,,,
Dance of Death,,,
Mamma Mia!,,,
Mostly Sondheim,,,
Noises Off,6.76,8.00,5.51
Sexaholix,,,
The Producers,,,
The Women,,,
Thou Shalt Not,,,
Urinetown The Musical,,,
QED,,,
Blast!,,,
If You Ever Leave Me...I'm Going with You!,,,
Stones in His Pockets,,,
Major Barbara,,,
One Flew Over the Cuckoo's Nest,,,
George Gershwin Alone,,,
Follies,8.18,8.35,8.00
King Hedley II,,,
The Invention of Love,,,
A Class Act,,,
Bells Are Ringing,,,
Design for Living,,,
Judgment at Nuremberg,,,
The Adventures of Tom Sawyer,,,
The Gathering,,,
Dance of the Vampires,,,
Dinner at Eight,,,
Flower Drum Song,,,
Frankie and Johnny in the Clair de Lune,5.61,7.63,3.60
Hairspray,,,
Hollywood Arms,,,
Imaginary Friends,,,
La Boh,,,
Metamorphoses,,,
Movin' Out,,,
Russell Simmons Def Poetry Jam,,,
"Say Goodnight, Gracie",,,
The Graduate,,,
Thoroughly Modern Millie,,,
"The Goat, or Who Is Sylvia",,,
Prune Danish,,,
Amour,,,
The Boys from Syracuse,,,
Topdog / Underdog,,,
Morning's at Seven,,,
Fortune's Fool,,,
The Man Who Had All the Luck,,,
Sweet Smell of Success,,,
The Elephant Man,6.87,7.76,5.98
Elaine Stritch at Liberty,,,
The Mystery of Charles Dickens,,,
The Smell of the Kill,,,
Bea Arthur on Broadway,,,
An Almost Holy Picture,,,
One Mo' Time,,,
Anna in the Tropics,,,
Avenue Q,,,
Golda's Balcony,,,
Henry IV,,,
I Am My Own Wife,,,
Little Shop of Horrors,,,
Never Gonna Dance,,,
Taboo,,,
Take Me Out,,,
The Boy from Oz,,,
The Retreat from Moscow,,,
Wonderful Town,,,
The Violet Hour,,,
Nine,,,
Jackie Mason's Laughing Room Only,,,
Oldest Living Confederate Widow Tells All,,,
Six Dance Lessons in Six Weeks,,,
Bobbi Boland,,,
Enchanted April,,,
"""Master Harold""...and the Boys",,,
Life x 3,,,
A Year with Frog and Toad,,,
Salome,,,
The Look of Love,,,
The Play What I Wrote,,,
A Day in the Death of Joe Egg,,,
As Long as We Both Shall Laugh,,,
Bill Maher: Victory Begins at Home,,,
Urban Cowboy,,,
Vincent in Brixton,,,
Ma Rainey's Black Bottom,,,
"'night, Mother",,,
700 Sundays,,,
Bombay Dreams,,,
Brooklyn,,,
Dame Edna: Back with a Vengeance,,,
Democracy,,,
"Dracula, the Musical",,,
Gem of the Ocean,,,
Good Vibrations,,,
Laugh Whore,,,
Little Women,,,
Pacific Overtures,,,
The Rivals,,,
Twelve Angry Men,,,
Whoopi,,,
Reckless,,,
The Good Body,,,
Marc Salem's Mind Games on Broadway,,,
The Frogs,,,
After the Fall,,,
"Caroline, or Change",,,
Sly Fox,,,
Sight Unseen,,,
Assassins,,,
A Raisin in the Sun,7.47,8.52,6.42
Jumpers,,,
Twentieth Century,,,
Match,,,
Prymate,,,
Sixteen Wounded,,,
Barbara Cook's Broadway!,,,
King Lear,5.17,7.17,3.18
Drowning Crow,,,
A Touch of the Poet,,,
Chita Rivera: The Dancer's Life,,,
Chitty Chitty Bang Bang,,,
Dirty Rotten Scoundrels,,,
Doubt,,,
Jersey Boys,7.49,7.33,7.64
Latinologues,,,
Seascape,,,
Souvenir,,,
Spamalot,,,
The 25th Annual Putnam County Spelling Bee,,,
The Color Purple,7.07,8.59,5.54
The Light in the Piazza,,,
The Woman in White,,,
In My Life,,,
A Naked Girl on the Appian Way,,,
Absurd Person Singular,,,
All Shook Up,,,
Lennon,,,
The Pillowman,,,
Jackie Mason: Freshly Squeezed,,,
Who's Afraid of Virginia Woolf,,,
Glengarry Glen Ross,6.24,6.57,5.91
The Constant Wife,,,
Primo,,,
Steel Magnolias,,,
The Blonde in the Thunderbird,,,
After the Night and the Music,,,
Mark Twain Tonight!,,,
On Golden Pond,,,
Julius Caesar,,,
Love/Life,,,
Brooklyn Boy,,,
Butley,,,
Dr. Seuss' How the Grinch Stole Christmas!,,,
Grey Gardens,,,
Martin Short: Fame Becomes Me,,,
Mary Poppins,7.06,6.70,7.42
Spring Awakening,6.98,8.54,5.41
Tarzan,,,
The Apple Tree,,,
The Coast of Utopia,,,
The Drowsy Chaperone,,,
The Little Dog Laughed,,,
The Vertical Hour,,,
The Wedding Singer,,,
Heartbreak House,,,
High Fidelity,,,
Jay Johnson: The Two and Only,,,
Losing Louie,,,
The Times They Are A-Changin',,,
The History Boys,,,
Kiki & Herb: Alive on Broadway,,,
The Lieutenant of Inishmore,,,
Faith Healer,,,
Bridge & Tunnel,,,
Hot Feet,,,
Shining City,,,
Awake and Sing!,,,
The Pajama Game,,,
Three Days of Rain,,,
Lestat,,,
Barefoot in the Park,,,
Festen,,,
The Caine Mutiny Court-Martial,,,
Well,,,
Ring of Fire,,,
What the Constitution Means to Me,5.00,9.00,1.00
King Kong,4.04,4.18,3.90
Manilow Broadway,,,
Pretty Woman: The Musical,,,
The Cher Show,5.94,6.73,5.16
Be More Chill,5.28,6.43,4.14
The Prom,6.02,7.64,4.40
Dave Chappelle Live on Broadway,,,
Criss Angel Raw ,,,
Ink,6.21,8.05,4.38
The Ferryman,6.74,9.08,4.40
Regina Spektor: Live on Broadway,,,
Hillary and Clinton,4.66,6.82,2.50
Mel Brooks on Broadway,,,
Gary: A Sequel to Titus Andronicus,,,
Network,5.70,8.29,3.11
Pure Yanni,,,
Morrissey,,,
Kinky Boots,7.23,7.33,7.12
The Band's Visit,6.92,8.76,5.08
Anastasia,6.60,7.13,6.07
Choir Boy,5.99,8.23,3.75
American Son,5.81,6.81,4.80
The Waverly Gallery,7.05,7.94,6.17
Mike Birbiglia's The New One,6.54,8.00,5.08
School of Rock ,6.39,7.59,5.19
The Lifespan of a Fact,5.46,7.76,3.15
Head Over Heels,5.61,6.46,4.76
The Play That Goes Wrong,6.08,7.22,4.94
Torch Song,7.08,8.09,6.08
Ruben & Clay's First Annual Christmas Carol Family Fun Pageant Spectacular Reunion Show,,,
Summer: The Donna Summer Musical ,,,
The Illusionists ,2.76,0.00,5.53
Celebrity Autobiography,2.43,0.00,4.86
Springsteen On Broadway,6.65,8.60,4.69
Bernhardt/Hamlet,5.89,7.57,4.21
The Nap,5.64,6.82,4.46
Gettin' the Band Back Together,,,
"SpongeBob SquarePants, The Broadway Musical",,,
Straight White Men,5.55,7.17,3.92
The Boys in the Band,6.41,7.87,4.95
A Bronx Tale The Musical,,,
Angels in America: A Gay Fantasia on National Themes,,,
Escape to Margaritaville,4.66,5.50,3.81
Three Tall Women,6.86,8.72,5.00
Travesties,6.00,8.15,3.84
Children of a Lesser God,6.34,6.69,6.00
Lobby Hero,6.30,7.50,5.09
Rocktopia,3.69,4.00,3.37
Farinelli and the King,6.28,7.69,4.87
The Parisian Woman,5.39,5.44,5.34
John Lithgow: Stories By Heart,,,
Latin History for Morons,6.48,7.50,5.45
The Children,6.80,7.85,5.75
Meteor Shower,5.98,6.63,5.34
Charlie and the Chocolate Factory,5.69,4.75,6.63
Junk,6.16,7.72,4.61
Home for the Holidays,4.37,3.40,5.33
Time and the Conways,6.38,6.69,6.06
War Paint,6.73,7.68,5.78
Prince of Broadway,6.33,6.83,5.83
Michael Moore: The Terms of My Surrender,,,
1984,,,
"A Doll's House, Part 2",,,
Bandstand,6.39,7.53,5.25
Groundhog Day,6.83,7.60,6.06
"Natasha, Pierre & The Great Comet of 1812",,,
Marvin's Room,6.17,7.36,4.97
On Your Feet!,6.07,7.60,4.54
Indecent,6.92,8.36,5.49
Oslo,7.16,8.36,5.97
Sweat,6.42,8.25,4.60
Am,,,
Significant Other,6.70,7.40,6.00
Cirque du Soleil Paramour,5.77,5.38,6.16
In Transit,6.65,6.42,6.88
The Present,6.52,6.81,6.23
Jitney,6.36,8.53,4.18
"Oh, Hello on Broadway",,,
"Holiday Inn, The New Irving Berlin Musical",,,
The Humans,6.72,8.69,4.75
The Encounter,7.06,7.75,6.38
Matilda The Musical,8.18,8.91,7.44
Something Rotten!,,,
The Illusionists ,2.76,0.00,5.53
Heisenberg,6.61,7.55,5.66
Alton Brown Live: Eat Your Science,,,
Kristin Chenoweth: My Love Letter to Broadway,,,
Frankie Valli and the Four Seasons On Broadway,3.50,0.00,7.00
Lewis Black: Black to the Future,,,
An American in Paris,6.71,7.83,5.58
Fun Home,7.05,9.06,5.04
An Act of God,5.95,7.25,4.66
The Curious Incident of the Dog in the Night-Time,7.33,8.82,5.83
Finding Neverland,5.69,6.05,5.32
Fully Committed,5.58,6.94,4.22
Motown The Musical,5.91,6.40,5.42
"Shuffle Along, or the Making of the Musical Sensation of 1921 and All That Followed",,,
Bright Star,6.39,6.70,6.08
Eclipsed,6.27,8.23,4.30
Blackbird,6.76,8.38,5.15
American Psycho,6.12,7.19,5.05
Tuck Everlasting,5.64,6.61,4.66
Disaster!,,,
Our Mother's Brief Affair,5.41,5.73,5.09
Allegiance,6.68,6.81,6.55
Misery,6.14,6.29,5.99
China Doll,5.44,5.83,5.05
King Charles III,6.80,8.47,5.12
A Gentleman's Guide to Love and Murder,7.40,7.72,7.08
Dames at Sea,5.65,6.22,5.07
Hand to God,6.96,8.15,5.76
Lord of the Dance: Dangerous Games,,,
Sylvia,6.22,7.53,4.91
The Illusionists - Live On Broadway,,,
Th,,,
Fool For Love,6.63,7.82,5.44
Old Times,6.42,7.33,5.50
Amazing Grace,5.19,5.89,4.48
Hedwig and the Angry Inch,7.22,8.83,5.60
Penn & Teller On Broadway,2.75,0.00,5.50
It Shoulda Been You,5.46,6.11,4.81
Fish in the Dark,6.67,6.96,6.37
On the Twentieth Century,7.84,8.22,7.45
Wolf Hall: Parts 1 & 2,,,
The Audience,6.57,7.64,5.50
Gigi,5.89,6.05,5.72
Airline Highway,5.90,6.59,5.20
It's Only a Play,5.68,7.00,4.35
Doctor Zhivago,4.80,4.81,4.80
Living on Love,5.95,6.26,5.64
The Heidi Chronicles,6.36,7.55,5.17
Honeymoon in Vegas,6.95,7.32,6.58
If/Then,6.48,7.25,5.71
Constellations,7.15,8.06,6.24
Disgraced,6.88,7.90,5.86
You Can't Take It With You,6.39,8.50,4.27
The River,6.20,6.60,5.80
The Last Ship,7.15,7.24,7.06
Rock of Ages,5.89,6.20,5.57
Cinderella,6.51,7.45,5.57
Once,7.66,8.33,6.99
Pippin,7.87,8.72,7.02
The Illusionists - Witness the Impossible,,,
The Temptations & The Four Tops On Broadway,,,
This Is Our Youth,6.98,8.25,5.71
The Country House,5.98,6.46,5.50
Lady Day at Emerson's Bar and Grill,7.53,8.44,6.62
Bullets Over Broadway,6.77,7.29,6.24
Newsies,7.12,8.00,6.25
Rocky,6.33,7.22,5.45
Violet,6.98,8.33,5.62
