show,total_rating,critics_rating,readers_rating
Scandalous: The Life and Trials of Aimee Semple McPherson,,,
Cyrano de Bergerac,6.42,6.46,6.38
An Enemy of the People,6.64,7.31,5.98
The Performers,5.88,5.93,5.82
Lewis Black: Running On Empty,,,
Porgy and Bess,,,
Clybourne Park,7.24,8.60,5.88
"One Man, Two Guvnors",,,
Sister Act,6.39,7.22,5.56
End of the Rainbow,6.83,6.64,7.02
Ghost The Musical,5.81,5.62,5.99
Mike Tyson: Undisputed Truth,,,
Fela!,,,
Harvey,6.34,6.92,5.77
Memphis,,,
The Columnist,7.00,7.57,6.42
The Lyons,6.89,7.75,6.04
Godspell,5.75,5.33,6.17
Priscilla Queen of the Desert,,,
Don't Dress For Dinner,5.31,5.36,5.26
Other Desert Cities,6.72,8.17,5.28
Venus in Fur,6.71,8.00,5.42
Leap of Faith,5.98,5.78,6.19
Magic/Bird,5.13,6.17,4.10
Seminar,5.64,7.62,3.67
Wit,7.11,8.00,6.22
Shatner's World: We Just Live in It,,,
The Road to Mecca,5.43,6.63,4.24
Stick Fly,6.01,6.64,5.38
Chinglish,5.81,6.83,4.79
On a Clear Day You Can See Forever,4.93,5.76,4.09
Relatively Speaking,4.21,3.56,4.86
The Mountaintop,5.09,5.19,4.99
An Evening with Patti LuPone and Mandy Patinkin,6.71,7.92,5.50
Billy Elliot: The Musical,,,
Lysistrata Jones,6.42,6.57,6.28
Bonnie & Clyde,6.04,5.83,6.25
"Hugh Jackman, Back on Broadway",,,
The Addams Family,5.78,4.63,6.93
Man and Boy,6.01,6.67,5.36
Hair,2.92,0.00,5.85
Baby It's You!,,,
Catch Me If You Can,5.58,5.00,6.17
Jerusalem,7.29,7.94,6.64
Rain: A Tribute to the Beatles,,,
The Motherf**ker With the Hat,,,
Ghetto Klown,6.27,6.46,6.08
The Normal Heart,8.28,8.75,7.81
Bengal Tiger at the Baghdad Zoo,6.45,6.82,6.08
The Importance of Being Earnest,7.45,8.50,6.40
The People in the Picture,4.65,2.92,6.38
Million Dollar Quartet,5.73,6.19,5.27
Good People,6.53,7.88,5.18
That Championship Season,4.34,3.28,5.40
Lombardi,,,
Wonderland,,,
American Idiot,,,
High,,,
Driving Miss Daisy,,,
Kathy Griffin Wants a Tony,,,
Colin Quinn: Long Story Short,,,
Time Stands Still,,,
Next to Normal,,,
A Free Man of Color,,,
A Little Night Music,,,
In the Heights,,,
Bloody Bloody Andrew Jackson,,,
Brief Encounter,,,
Donny & Marie - A Broadway Christmas,,,
"Promises, Promises",,,
The Pee-wee Herman Show,,,
West Side Story,,,
Women on the Verge of a Nervous Breakdown,,,
The Pitmen Painters,,,
The Scottsboro Boys,,,
A Life in the Theatre,,,
Elling,,,
Mrs. Warren's Profession,,,
Come Fly Away,,,
Race,,,
South Pacific,,,
Everyday Rapture,,,
Next Fall,,,
Red,,,
Sondheim on Sondheim,,,
Collected Stories,,,
A Behanding in Spokane,,,
God of Carnage,,,
Enron,,,
Looped,,,
All About Me,,,
The Miracle Worker,,,
Bye Bye Birdie,,,
Finian's Rainbow,,,
Wishful Drinking,,,
Burn the Floor,,,
In the Next Room,,,
The 39 Steps,,,
Irving Berlin's White Christmas,,,
Shrek the Musical,,,
Superior Donuts,,,
The Royal Family,,,
A Steady Rain,,,
After Miss Julie,,,
Oleanna,,,
9 to 5,,,
The Little Mermaid,,,
Mary Stuart,,,
The Norman Conquests,,,
Waiting for Godot,6.24,7.93,4.56
Accent on Youth,,,
August: Osage County,,,
Irena's Vow,,,
The Philanthropist,,,
Exit the King,,,
Reasons to Be Pretty,,,
33 Variations,,,
Desire Under the Elms,,,
Impressionism,,,
The American Plan,,,
You're Welcome America,,,
Pal Joey,0.00,0.00,
The Story of My Life,,,
Equus,,,
Soul of Shaolin,,,
13,,,
Boeing-Boeing,,,
Dividing the Estate,,,
Liza's at the Palace....,,,
Slava's Snowshow,,,
Young Frankenstein,,,
A Man for All Seasons,,,
American Buffalo,,,
To Be Or Not to Be,,,
A Tale of Two Cities,,,
Legally Blonde,,,
[title of show],,,
Xanadu,,,
Cirque Dreams,,,
Thurgood,,,
A Catered Affair,,,
Passing Strange,,,
The Country Girl,,,
November,,,
Curtains,,,
Top Girls,,,
Cry-Baby,,,
Glory Days,,,
The Seafarer,,,
"Come Back, Little Sheba",,,
Is He Dead,,,
Rock 'n' Roll,,,
The Farnsworth Invention,,,
A Bronx Tale,2.75,0.00,5.50
Cymbeline,,,
The Ritz,,,
Mauritius,,,
The Year of Magical Thinking,,,
Deuce,,,
Frost/Nixon,,,
Old Acquaintance,,,
110 in the Shade,,,
Radio Golf,,,
Lovemusik,,,
Talk Radio,,,
The Pirate Queen,,,
Journey's End,,,
Coram Boy,,,
Rabbit Hole,,,
